model_variant,cv_fold,n_train,n_test,r2,mae,spearman,target
environment,0,39495,9877,-0.03084107482675935,341.95404677385915,0.017584779551695923,mean_squared_error_gain
environment,1,39504,9868,-0.10204647665695199,234.0625786843357,0.16503872710576747,mean_squared_error_gain
environment,2,39504,9868,-0.255401687611595,148.42731124545966,0.05220227858736589,mean_squared_error_gain
environment,3,39489,9883,-0.05322520970804079,286.8855263095199,0.0605012093879074,mean_squared_error_gain
environment,4,39496,9876,-0.43428996277930065,104.60588608238501,0.006368861688431202,mean_squared_error_gain
environment,overall,49372,49372,-0.06766308111173003,223.20885808310877,0.05614598522176686,mean_squared_error_gain
full,0,39495,9877,0.042074370513300874,321.1405298220042,0.1414941981084562,mean_squared_error_gain
full,1,39504,9868,-0.25121427991333145,236.53165636548508,0.16186499927540696,mean_squared_error_gain
full,2,39504,9868,-0.04422094684595179,128.73415451350147,0.03162227072057525,mean_squared_error_gain
full,3,39489,9883,-0.12495420521905487,296.5023013019099,0.04386972742995787,mean_squared_error_gain
full,4,39496,9876,-0.4212032376517676,96.31708364915477,-0.005024378411654116,mean_squared_error_gain
full,overall,49372,49372,-0.06224810924002244,215.86947655941833,0.0751031612095281,mean_squared_error_gain
environment,0,39495,9877,0.005070885898020627,4.006621766266569,0.09128669938852134,mean_absolute_error_gain
environment,1,39504,9868,-0.010923067340074422,3.285197404917692,0.13335430485658908,mean_absolute_error_gain
environment,2,39504,9868,-0.09026654902904085,2.828720745082261,0.06401195546944863,mean_absolute_error_gain
environment,3,39489,9883,-0.01911712029517676,3.649164568486149,0.04352198450032474,mean_absolute_error_gain
environment,4,39496,9876,-0.10228705373118929,2.2646653231837153,0.001349801914248644,mean_absolute_error_gain
environment,overall,49372,49372,-0.020041231211842758,3.207001451262364,0.0657462886941277,mean_absolute_error_gain
full,0,39495,9877,0.030107259625512306,3.951768770407287,0.17543223477785702,mean_absolute_error_gain
full,1,39504,9868,0.05934069889756599,3.135483546555853,0.1951613476823499,mean_absolute_error_gain
full,2,39504,9868,-0.04754919451763939,2.7719469691537335,0.06506631197810296,mean_absolute_error_gain
full,3,39489,9883,-0.0158726705027199,3.5969820401870645,0.11369981129970845,mean_absolute_error_gain
full,4,39496,9876,-0.06656217075824955,2.2380191661330593,0.03602272553433322,mean_absolute_error_gain
full,overall,49372,49372,0.00941681542495576,3.1389815130485665,0.11739291697913315,mean_absolute_error_gain
