validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,rmse,20,32.26323183328339,40.35649381029356,8.093261977010165,25.085093827026327
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,mae,20,16.589312773599502,21.78039940695509,5.191086633355589,31.291752131027195
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,median_absolute_error,20,10.964502559033978,13.943947568325342,2.9794450092913642,27.17355386849275
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,p95_absolute_error,20,48.3224296015404,69.39448719860434,21.07205759706394,43.60719808755687
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,p99_absolute_error,20,95.47156821066119,128.98303498619038,33.511466775529186,35.10099122032334
month_stratified_hidden_cells,2005,,500,historical_density_minus_random,bias,20,-0.17566403820572743,-3.8546848366647772,-3.67902079845905,
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,rmse,20,32.26323183328339,33.40853370813145,1.1453018748480588,3.549867170053753
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,mae,20,16.589312773599502,17.679337031800742,1.0900242582012396,6.57064143088508
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,median_absolute_error,20,10.964502559033978,11.840951309117594,0.8764487500836164,7.993511291230303
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,p95_absolute_error,20,48.3224296015404,51.20199201059758,2.879562409057179,5.959059659875599
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,p99_absolute_error,20,95.47156821066119,100.1817200992666,4.7101518886054095,4.933565015096749
month_stratified_hidden_cells,2005,,500,spatial_coverage_minus_random,bias,20,-0.17566403820572743,0.3906747262180685,0.5663387644237959,
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,rmse,20,30.40502064643755,37.989487655991546,7.584467009553997,24.944784934532326
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,mae,20,14.084229402259236,19.036696676019066,4.952467273759829,35.16321079636355
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,median_absolute_error,20,8.908535232586258,11.606008443099578,2.6974732105133192,30.27964912398072
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,p95_absolute_error,20,41.036243050183835,61.88583898532075,20.849595935136918,50.807760129599664
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,p99_absolute_error,20,87.59125503733996,126.48215262898607,38.89089759164611,44.400434238631476
month_stratified_hidden_cells,2005,,1000,historical_density_minus_random,bias,20,0.3455331567897984,-3.857201878490448,-4.202735035280246,
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,rmse,20,30.40502064643755,30.710586336274776,0.305565689837227,1.0049843194993162
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,mae,20,14.084229402259236,14.899741403974172,0.8155120017149358,5.790249352116633
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,median_absolute_error,20,8.908535232586258,9.598715022640402,0.6901797900541435,7.747399230454363
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,p95_absolute_error,20,41.036243050183835,43.47359907846126,2.437356028277428,5.939520402237478
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,p99_absolute_error,20,87.59125503733996,90.03395417543554,2.442699138095577,2.788747731784708
month_stratified_hidden_cells,2005,,1000,spatial_coverage_minus_random,bias,20,0.3455331567897984,0.5380062412837834,0.19247308449398498,
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,rmse,20,28.559949769729066,36.296757171921705,7.736807402192639,27.089709416761465
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,mae,20,11.96246753751412,17.12148756490269,5.15902002738857,43.12672123213676
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,median_absolute_error,20,7.494576218627904,9.861224290194324,2.36664807156642,31.57814401412149
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,p95_absolute_error,20,33.904011100050944,58.16127085474884,24.2572597546979,71.54687297356817
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,p99_absolute_error,20,79.69911096222283,122.61319073848856,42.91407977626572,53.84511728945996
month_stratified_hidden_cells,2005,,2500,historical_density_minus_random,bias,20,0.18430945959862705,-4.687494798219289,-4.871804257817916,
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,rmse,20,28.559949769729066,27.19146100227858,-1.3684887674504864,-4.791635764363141
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,mae,20,11.96246753751412,12.305642103765887,0.3431745662517667,2.8687606898457725
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,median_absolute_error,20,7.494576218627904,8.125241035862079,0.6306648172341749,8.41494967609571
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,p95_absolute_error,20,33.904011100050944,34.32017425580946,0.41616315575851814,1.2274746918009733
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,p99_absolute_error,20,79.69911096222283,70.13222032443664,-9.566890637786187,-12.003760797684265
month_stratified_hidden_cells,2005,,2500,spatial_coverage_minus_random,bias,20,0.18430945959862705,0.2674919950938789,0.08318253549525184,
month_stratified_hidden_cells,2005,,5000,historical_density_minus_random,rmse,20,26.494569312158184,35.45457834329955,8.960009031141368,33.818285270369266
month_stratified_hidden_cells,2005,,5000,historical_density_minus_random,mae,20,10.782642385456018,16.02524453593963,5.242602150483613,48.620755127286856
month_stratified_hidden_cells,2005,,5000,historical_density_minus_random,median_absolute_error,20,6.940798336305095,8.832693571710907,1.891895235405812,27.25760270990606
month_stratified_hidden_cells,2005,,5000,historical_density_minus_random,p95_absolute_error,20,29.74570770793908,56.21136585387186,26.46565814593278,88.97303236415902
month_stratified_hidden_cells,2005,,5000,historical_density_minus_random,p99_absolute_error,20,67.39412921060737,118.94670596565341,51.55257675504603,76.49416552878617
