evaluation_domain,budget,comparison,metric,n_years,years,mean_of_year_effects,minimum_year_effect,maximum_year_effect,years_effect_below_zero,years_effect_above_zero,years_interval_entirely_below_zero,years_interval_entirely_above_zero
all,500,historical_density_minus_random,mae,3,2005;2010;2014,4.867036890427218,4.584337392190777,5.1910866333555905,0,3,0,3
all,500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.988839298057922,2.851227036226973,3.135845848655427,0,3,0,3
all,500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,18.98819402155323,17.715117816636326,21.07205759706394,0,3,0,3
all,500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,27.676573912705845,22.524916197889773,33.51146677552917,0,3,0,3
all,500,historical_density_minus_random,rmse,3,2005;2010;2014,7.340304781944223,6.924505171141794,8.093261977010167,0,3,0,3
all,500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.9435338765057292,0.7171544009832393,1.090024258201241,0,3,0,3
all,500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.8977951691729965,0.8580109998040755,0.9589257576312974,0,3,0,3
all,500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,2.318310406423466,1.4787013910224558,2.8795624090571788,0,3,0,0
all,500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,2.0102040636973935,0.37976032745657023,4.710151888605408,0,3,0,0
all,500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,0.7742775965324946,0.3582926280807527,1.1453018748480572,0,3,0,0
all,1000,historical_density_minus_random,mae,3,2005;2010;2014,4.906182806003077,4.704621925371809,5.061459218877595,0,3,0,3
all,1000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.70302007267211,2.6719805938399417,2.73960641366307,0,3,0,3
all,1000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,20.05911479005004,18.29442619055815,21.033322244455043,0,3,0,3
all,1000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,37.61433076216763,34.63280384530084,39.31929084955595,0,3,0,3
all,1000,historical_density_minus_random,rmse,3,2005;2010;2014,7.6558277558695735,7.422353941352121,7.9606623167026,0,3,0,3
all,1000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.6295977796022333,0.3884125915936426,0.8155120017149351,0,3,0,3
all,1000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6532858834658835,0.5557250042830176,0.7139528560604887,0,3,0,3
all,1000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.862521936341686,1.3755690727287526,2.4373560282774305,0,3,0,1
all,1000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-0.1061712522072978,-2.772950307988675,2.4426991380955676,1,2,0,0
all,1000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.045026254083263405,-0.5096125129017158,0.305565689837227,1,2,0,0
all,2500,historical_density_minus_random,mae,3,2005;2010;2014,5.45886283030951,5.15902002738857,5.8645543382390874,0,3,0,3
all,2500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.3910389034934343,2.3359601832011805,2.4705084557127037,0,3,0,3
all,2500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.34967123531494,23.83872661509653,27.9530273361504,0,3,0,3
all,2500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,51.45335357663502,42.91407977626572,59.892792016419264,0,3,0,3
all,2500,historical_density_minus_random,rmse,3,2005;2010;2014,8.977263674120723,7.736807402192643,10.38306056894516,0,3,0,3
all,2500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.3619240402002109,0.3431745662517665,0.3961487234555189,0,3,0,2
all,2500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6257007783440068,0.5961621006643852,0.6502754171334602,0,3,0,3
all,2500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,0.5430672330317748,0.41616315575851565,0.6671545708195644,0,3,0,0
all,2500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-7.154193919325159,-9.566890637786193,-5.901128854755893,3,0,3,0
all,2500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-1.122593586607657,-1.368488767450487,-0.9020346435999578,3,0,2,0
all,5000,historical_density_minus_random,mae,3,2005;2010;2014,5.430228149477405,5.242602150483615,5.65784425565742,0,3,0,3
all,5000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,1.9738059029857178,1.891895235405812,2.1044575050994054,0,3,0,3
all,5000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.675868558503243,23.692856730106705,26.869090799470236,0,3,0,3
all,5000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,61.54766994493887,51.552576755046026,70.57791619272977,0,3,0,3
all,5000,historical_density_minus_random,rmse,3,2005;2010;2014,9.86497128469571,8.96000903114137,10.686627041347787,0,3,0,3
all,5000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.49974559949132064,0.43413613376518495,0.6174372708429267,0,3,0,3
all,5000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6703707246337293,0.6161769706335193,0.7767297004118816,0,3,0,3
all,5000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.0897948350389677,1.0140289261253508,1.1858032787461161,0,3,0,3
all,5000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-4.720351708101096,-5.70131061864016,-4.206629782343912,3,0,3,0
all,5000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-1.1069404069828892,-1.483981345046137,-0.7485212121644791,3,0,3,0
spco2_le_threshold,500,historical_density_minus_random,mae,3,2005;2010;2014,4.854518143452398,4.570776096962872,5.17473147272449,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.9882861056265404,2.850402644375353,3.1353271412856047,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,18.944362128414024,17.68984762933517,21.014018995971817,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,27.75735800918552,22.6725019123784,33.50807926057487,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,rmse,3,2005;2010;2014,7.882461825633517,7.346097877484176,8.754809648340176,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.947100654658897,0.7191305758268334,1.0956063076664115,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.8976985470183445,0.8579052850200668,0.9587988612841599,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,2.313117639709236,1.4804185051213323,2.8726157869758753,0,3,0,0
spco2_le_threshold,500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,2.0399318552900843,0.40485299543633674,4.6532082603620335,0,3,0,0
spco2_le_threshold,500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,1.014903835106253,0.4602653809524863,1.5077496579518737,0,3,0,0
spco2_le_threshold,1000,historical_density_minus_random,mae,3,2005;2010;2014,4.891097150036647,4.688363421863393,5.051849582322214,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.7026568890363847,2.671607969636253,2.739226409374221,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,20.007914576901303,18.241144562508232,20.995777964638187,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,37.647969641157175,34.64785457648134,39.38461234221557,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,rmse,3,2005;2010;2014,8.281991992196316,8.166086796913115,8.437984395432881,0,3,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.6340787112980875,0.38935044442556244,0.8252631344793864,0,3,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6533570780621952,0.5559145845989363,0.7139882580900576,0,3,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.862118741218796,1.3731873550241533,2.434227311257911,0,3,0,1
spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,0.01653635021814163,-2.611150733292871,2.5416677294291703,1,2,0,0
spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,0.17449998249892498,-0.5562319768521125,0.8370042112529225,1,2,0,0
spco2_le_threshold,2500,historical_density_minus_random,mae,3,2005;2010;2014,5.442790265351232,5.136445041017614,5.854322619721046,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.3907032084883917,2.335581057548123,2.4702301021031303,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.283481158574233,23.759519574242333,27.903171549105185,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,51.441951283348764,42.98982803098953,59.817717197172655,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,rmse,3,2005;2010;2014,10.019487939792368,8.552513535603591,11.345171780858976,0,3,0,3
spco2_le_threshold,2500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.3724272793700501,0.3510301115171056,0.4068719996274095,0,3,0,2
spco2_le_threshold,2500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6255790413879334,0.5960083817037158,0.6503490205617709,0,3,0,3
spco2_le_threshold,2500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,0.549546655011968,0.42358616242156516,0.6736246676816119,0,3,0,0
spco2_le_threshold,2500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-6.986514462912158,-9.352443521057335,-5.739163082075712,3,0,3,0
spco2_le_threshold,2500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.6288559063747304,-0.6981934454350232,-0.5644643628512924,3,0,0,0
spco2_le_threshold,5000,historical_density_minus_random,mae,3,2005;2010;2014,5.410965545598205,5.213283282734885,5.645551546983318,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,1.9734520775672175,1.8915663231697892,2.104330653800619,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.61056362090673,23.636961124653915,26.79846894175997,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,61.3002554006132,51.4639429451585,70.2066168403933,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,rmse,3,2005;2010;2014,11.02361879697893,9.698216910510146,11.705033688644434,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.5134007020989572,0.4519712648268198,0.6349304219880387,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6703069476581084,0.6163300607754593,0.7766397738997682,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.092308202998229,1.0091341368408135,1.1946686864365077,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-4.619887975187429,-5.562077534623801,-4.145388306105863,3,0,3,0
spco2_le_threshold,5000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.3752743472078355,-0.6069426421828734,-0.06475067380760091,3,0,0,0
