year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,0,spatial_coverage_minus_random,rmse,0.07320072412623091
2005,all,500,0,spatial_coverage_minus_random,mae,-0.04775885555315895
2005,all,500,0,spatial_coverage_minus_random,median_absolute_error,-0.09284355753331397
2005,all,500,0,spatial_coverage_minus_random,p95_absolute_error,-0.5808597557846298
2005,all,500,0,spatial_coverage_minus_random,p99_absolute_error,-3.996870554561184
2005,all,500,0,historical_density_minus_random,rmse,7.86788954861489
2005,all,500,0,historical_density_minus_random,mae,4.9906165158084015
2005,all,500,0,historical_density_minus_random,median_absolute_error,2.84186963110227
2005,all,500,0,historical_density_minus_random,p95_absolute_error,19.89220045834591
2005,all,500,0,historical_density_minus_random,p99_absolute_error,34.49360546753421
2005,all,500,1,spatial_coverage_minus_random,rmse,1.448067198980354
2005,all,500,1,spatial_coverage_minus_random,mae,2.2743526337164184
2005,all,500,1,spatial_coverage_minus_random,median_absolute_error,2.1424040999969236
2005,all,500,1,spatial_coverage_minus_random,p95_absolute_error,5.456551189297841
2005,all,500,1,spatial_coverage_minus_random,p99_absolute_error,7.517682550486626
2005,all,500,1,historical_density_minus_random,rmse,13.060337393399273
2005,all,500,1,historical_density_minus_random,mae,7.578040056757253
2005,all,500,1,historical_density_minus_random,median_absolute_error,3.5683447920742424
2005,all,500,1,historical_density_minus_random,p95_absolute_error,40.40825653702117
2005,all,500,1,historical_density_minus_random,p99_absolute_error,68.89554401223134
2005,all,500,2,spatial_coverage_minus_random,rmse,-0.10914102264813863
2005,all,500,2,spatial_coverage_minus_random,mae,0.18386294544829695
2005,all,500,2,spatial_coverage_minus_random,median_absolute_error,0.3915206685128396
2005,all,500,2,spatial_coverage_minus_random,p95_absolute_error,0.48137645945005403
2005,all,500,2,spatial_coverage_minus_random,p99_absolute_error,-3.002258122069449
2005,all,500,2,historical_density_minus_random,rmse,9.001400468001027
2005,all,500,2,historical_density_minus_random,mae,5.667205369339321
2005,all,500,2,historical_density_minus_random,median_absolute_error,3.0280371893433937
2005,all,500,2,historical_density_minus_random,p95_absolute_error,20.60754149291303
2005,all,500,2,historical_density_minus_random,p99_absolute_error,44.53239946171921
2005,all,500,3,spatial_coverage_minus_random,rmse,-1.2384405547066955
2005,all,500,3,spatial_coverage_minus_random,mae,0.11798908279068598
2005,all,500,3,spatial_coverage_minus_random,median_absolute_error,0.7475622885098971
2005,all,500,3,spatial_coverage_minus_random,p95_absolute_error,-2.4824515699101184
2005,all,500,3,spatial_coverage_minus_random,p99_absolute_error,-18.200731143105912
2005,all,500,3,historical_density_minus_random,rmse,9.826695495577503
2005,all,500,3,historical_density_minus_random,mae,5.557763131547851
2005,all,500,3,historical_density_minus_random,median_absolute_error,2.771233210093726
