evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
all,random,500,0,390000,97488,97488,31.96592903718023,16.42774939531898,-0.6101158889526921,10.807530641871892,48.91365126662898,91.1653029945704,0.4874220624598553,0.69829003688245
spco2_le_threshold,random,500,0,390000,97488,97474,25.806403566877915,16.241291007854816,-0.4213856457209465,10.806578463378031,48.84191418821058,90.90306608645963,0.5969328101579687,0.7727017600247991
all,random,1000,0,390000,97488,97488,29.716605382587066,14.373937153074447,1.1016475597135267,9.352450992042094,42.362117618640085,87.78225098927106,0.5570204867795986,0.7468584208758353
spco2_le_threshold,random,1000,0,390000,97488,97474,23.37286133293382,14.194232253169222,1.283575187587018,9.349869433430229,42.31753250738786,87.36547559957845,0.6693669653058101,0.8188568701586922
all,historical_density,500,0,390000,97488,97488,39.64337733613208,21.31565489339502,-2.8395296899569664,13.88174159141002,66.83439365722792,125.6490878430637,0.21163644412872762,0.5666755482814237
spco2_le_threshold,historical_density,500,0,390000,97488,97474,34.308717278796706,21.116428071931846,-2.6376491787627008,13.880413157515136,66.75143919305802,125.0643260833274,0.287587648361477,0.6383156927504597
all,historical_density,1000,0,390000,97488,97488,38.58119212989832,19.816309581338835,-3.2534576993960322,11.626614186156928,68.96298873253842,130.18719673479984,0.2533165369269351,0.6115881873852362
spco2_le_threshold,historical_density,1000,0,390000,97488,97474,33.30451349859353,19.622003727118926,-3.056772955150607,11.62567484428746,68.90150860651072,129.74973239635057,0.3286814214593493,0.6823278779689448
all,spatial_coverage,500,0,390000,97488,97488,31.848688511643424,16.27727952203346,-0.9204396559351935,10.947028402774436,46.36133344309738,87.1586118209683,0.49117510229917005,0.7021903313180019
spco2_le_threshold,spatial_coverage,500,0,390000,97488,97474,25.643622339235446,16.090564434417793,-0.7315188954413713,10.944227235851628,46.30908460477285,86.8323583199979,0.6020016946588476,0.7769484661519808
all,spatial_coverage,1000,0,390000,97488,97488,28.99866887213723,14.494007633353236,-0.008016979999580323,9.596572417442161,41.909916151367284,82.43666841603324,0.5781662020875943,0.7604005266733289
spco2_le_threshold,spatial_coverage,1000,0,390000,97488,97474,23.09479763103623,14.323404181011355,0.16466706685106178,9.594980440785804,41.87704558484619,81.9958669885011,0.6771871601146991,0.8231284584859014
all,random,500,1,390000,97488,97488,32.282266917137804,16.110707726375303,-0.6325949152926853,10.46941699925236,46.82203346739781,93.84422256330647,0.4772268240849752,0.6915880939868103
spco2_le_threshold,random,500,1,390000,97488,97474,26.680664199161317,15.932859826701094,-0.4525239245443962,10.467279175121405,46.78222281008955,93.33261602866597,0.5691602630436827,0.7550187326206663
all,random,1000,1,390000,97488,97488,29.531951035788136,13.738800877754626,-0.38489730458624294,8.717392130620198,39.86855404121879,84.58042739801077,0.5625085936020318,0.7513316150505119
spco2_le_threshold,random,1000,1,390000,97488,97474,23.09716924987573,13.557631298720473,-0.20180973049675055,8.715568267251228,39.83096492328372,84.22448097302156,0.6771208570161107,0.8242306628659097
