evaluation_domain,budget,seed,comparison,metric,difference
all,500,0,spatial_coverage_minus_random,rmse,-0.11724052553680764
all,500,0,spatial_coverage_minus_random,mae,-0.15046987328551964
all,500,0,spatial_coverage_minus_random,median_absolute_error,0.13949776090254318
all,500,0,spatial_coverage_minus_random,p95_absolute_error,-2.5523178235316024
all,500,0,spatial_coverage_minus_random,p99_absolute_error,-4.006691173602093
all,500,0,historical_density_minus_random,rmse,7.677448298951852
all,500,0,historical_density_minus_random,mae,4.887905498076041
all,500,0,historical_density_minus_random,median_absolute_error,3.074210949538127
all,500,0,historical_density_minus_random,p95_absolute_error,17.92074239059894
all,500,0,historical_density_minus_random,p99_absolute_error,34.4837848484933
all,500,1,spatial_coverage_minus_random,rmse,1.0296688595732348
all,500,1,spatial_coverage_minus_random,mae,2.1119483105879624
all,500,1,spatial_coverage_minus_random,median_absolute_error,2.1184613296555312
all,500,1,spatial_coverage_minus_random,p95_absolute_error,4.998343097482916
all,500,1,spatial_coverage_minus_random,p99_absolute_error,7.48222762894865
all,500,1,historical_density_minus_random,rmse,12.641939053992154
all,500,1,historical_density_minus_random,mae,7.415635733628797
all,500,1,historical_density_minus_random,median_absolute_error,3.54440202173285
all,500,1,historical_density_minus_random,p95_absolute_error,39.95004844520624
all,500,1,historical_density_minus_random,p99_absolute_error,68.86008909069336
all,500,2,spatial_coverage_minus_random,rmse,-0.1788590685224669
all,500,2,spatial_coverage_minus_random,mae,0.41315602096485193
all,500,2,spatial_coverage_minus_random,median_absolute_error,0.7331891800792221
all,500,2,spatial_coverage_minus_random,p95_absolute_error,-0.8576342622632183
all,500,2,spatial_coverage_minus_random,p99_absolute_error,-5.198454780408298
all,500,2,historical_density_minus_random,rmse,8.931682422126698
all,500,2,historical_density_minus_random,mae,5.896498444855876
all,500,2,historical_density_minus_random,median_absolute_error,3.369705700909776
all,500,2,historical_density_minus_random,p95_absolute_error,19.268530771199757
all,500,2,historical_density_minus_random,p99_absolute_error,42.33620280338036
all,1000,0,spatial_coverage_minus_random,rmse,-0.7179365104498352
all,1000,0,spatial_coverage_minus_random,mae,0.1200704802787893
all,1000,0,spatial_coverage_minus_random,median_absolute_error,0.24412142540006698
all,1000,0,spatial_coverage_minus_random,p95_absolute_error,-0.45220146727280053
all,1000,0,spatial_coverage_minus_random,p99_absolute_error,-5.34558257323782
all,1000,0,historical_density_minus_random,rmse,8.864586747311254
all,1000,0,historical_density_minus_random,mae,5.442372428264388
all,1000,0,historical_density_minus_random,median_absolute_error,2.274163194114834
all,1000,0,historical_density_minus_random,p95_absolute_error,26.600871113898336
all,1000,0,historical_density_minus_random,p99_absolute_error,42.40494574552878
all,1000,1,spatial_coverage_minus_random,rmse,0.5227180930831672
all,1000,1,spatial_coverage_minus_random,mae,1.1744863869851088
all,1000,1,spatial_coverage_minus_random,median_absolute_error,1.1067135618088173
all,1000,1,spatial_coverage_minus_random,p95_absolute_error,3.1920739529621756
all,1000,1,spatial_coverage_minus_random,p99_absolute_error,0.9541964101813392
all,1000,1,historical_density_minus_random,rmse,9.838380723372065
all,1000,1,historical_density_minus_random,mae,5.977824485823698
all,1000,1,historical_density_minus_random,median_absolute_error,2.9067449481079564
all,1000,1,historical_density_minus_random,p95_absolute_error,27.145616107556314
all,1000,1,historical_density_minus_random,p99_absolute_error,41.77864264537061
