strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
random,500,0,382,487,12,0.106,5.134
random,1000,0,609,952,12,0.131,14.903
historical_density,500,0,243,417,12,1.0,889.698
historical_density,1000,0,364,722,12,1.0,711.6
spatial_coverage,500,0,404,500,12,0.1,6.68
spatial_coverage,1000,0,649,1000,12,0.104,6.265
random,500,1,372,488,12,0.12,7.902
random,1000,1,603,951,12,0.132,8.583
historical_density,500,1,237,406,12,1.0,913.404
historical_density,1000,1,347,704,12,1.0,719.136
spatial_coverage,500,1,397,500,12,0.114,6.844
spatial_coverage,1000,1,652,1000,12,0.112,10.702
random,500,2,391,491,12,0.128,13.318
random,1000,2,627,968,12,0.117,10.55
historical_density,500,2,261,431,12,1.0,836.42
historical_density,1000,2,375,732,12,1.0,695.828
spatial_coverage,500,2,403,500,12,0.106,9.79
spatial_coverage,1000,2,657,1000,12,0.099,8.509
