evaluation_domain,strategy,budget,mean_rmse,sd_rmse,mean_mae,mean_median_absolute_error,mean_p95_absolute_error,mean_p99_absolute_error,mean_r2,mean_correlation,n_seeds
all,random,500,31.981569043949573,0.293190900233075,16.263465652621743,10.679902167688445,47.84102006859581,92.64242418193142,0.48689161340368775,0.6980946946768155,3
all,spatial_coverage,500,32.22609213245423,0.9548238527587718,17.055010472044177,11.676951591234209,48.37048373915851,92.06811807357751,0.4787397215592563,0.693353114984383,3
all,historical_density,500,41.731925635639804,2.8081054242128825,22.330145544808648,14.00934172508203,73.55412727093079,141.2024497627871,0.1237438826108976,0.5491750291404341,3
all,spatial_coverage,1000,29.16197042435618,0.8232856672437165,14.468973453666289,9.560027478208687,41.88087915939521,82.653787334705,0.5731751697618898,0.7574810155289867,3
all,random,1000,29.45558525934346,0.3064249352276782,13.952109926450513,8.943457046136379,40.96480655555029,85.42057825022675,0.5647368588278878,0.7522295682599154,3
all,historical_density,1000,37.87933369270835,1.9396262714221746,19.094447351678383,11.555100074291156,63.34454318637719,123.49007804964741,0.27897820750611885,0.6128353900834471,3
spco2_le_threshold,random,500,26.043542674494546,0.5577386159771439,16.080773228741922,10.678304495729785,47.78531177884491,92.26331083728121,0.5893655649739752,0.767895964796458,3
spco2_le_threshold,spatial_coverage,500,26.437473533153735,1.470725752080684,16.873919290165006,11.674985130645865,48.303829136061815,91.59530093889994,0.576105801509608,0.7603781177991692,3
spco2_le_threshold,historical_density,500,36.661863321625965,3.1162187157033765,22.130128509468147,14.006958411259793,73.3898229519521,140.77330862634622,0.18259305504969836,0.6183368199693993,3
spco2_le_threshold,random,1000,23.03706957569389,0.3695254392732807,13.771941519934323,8.941486854956926,40.92036604941264,85.01509245694147,0.6787438614932612,0.8246409746563574,3
spco2_le_threshold,spatial_coverage,1000,23.189846452339008,0.9250047088251446,14.296372223770668,9.55816073643991,41.83912824667793,82.1206009110915,0.6741793203897308,0.82166730628545,3
spco2_le_threshold,historical_density,1000,32.29468572519128,2.2608628011639054,18.89617960752449,11.553161764695716,63.270397640661976,122.7741086179446,0.3667119685348643,0.6877070415320169,3
