year,validation_scheme,spatial_fold,budget,seed,strategy,domain,weighting,n_evaluation,bias,mae,rmse,latitude_cutoff_degrees_north
2005,hidden_cells,-1,5000,0,random,global,equal_cell,97488,0.2336506647550118,11.141723891418655,26.032258269693298,60.0
2005,hidden_cells,-1,5000,0,random,global,spherical_cell_area,97488,0.2297318534558041,10.298309861639272,23.55086785357576,60.0
2005,hidden_cells,-1,5000,0,random,south_of_60n,equal_cell,87025,0.1864405005514227,10.106538069762758,23.147159129536856,60.0
2005,hidden_cells,-1,5000,0,random,south_of_60n,spherical_cell_area,87025,0.1810734475574768,9.83305760567759,22.01629284115148,60.0
2005,hidden_cells,-1,5000,0,random,60_to_90n,equal_cell,10463,0.6263166821321828,19.75178277793349,43.10236784989773,60.0
2005,hidden_cells,-1,5000,0,random,60_to_90n,spherical_cell_area,10463,1.4699189739239502,22.156484106354142,48.34145932172103,60.0
2005,hidden_cells,-1,5000,0,historical_density,global,equal_cell,97488,-4.580325860287251,15.727387228874449,34.59330038246272,60.0
2005,hidden_cells,-1,5000,0,historical_density,global,spherical_cell_area,97488,-1.548594660816636,12.830941528936208,29.010912595216197,60.0
2005,hidden_cells,-1,5000,0,historical_density,south_of_60n,equal_cell,87025,-0.5398117559161648,12.037999671766428,27.11644680818764,60.0
2005,hidden_cells,-1,5000,0,historical_density,south_of_60n,spherical_cell_area,87025,-0.3180594512649168,11.627947072254612,25.822879621070584,60.0
2005,hidden_cells,-1,5000,0,historical_density,60_to_90n,equal_cell,10463,-38.18691478630214,46.41351474080462,70.95282239157855,60.0
2005,hidden_cells,-1,5000,0,historical_density,60_to_90n,spherical_cell_area,10463,-32.91201255324439,43.49241108649886,72.78168634760348,60.0
2005,hidden_cells,-1,5000,1,random,global,equal_cell,97488,-0.3688723211802269,10.150775611517124,25.43076209136906,60.0
2005,hidden_cells,-1,5000,1,random,global,spherical_cell_area,97488,-0.2784769232985329,9.60953366862647,23.570191928855767,60.0
2005,hidden_cells,-1,5000,1,random,south_of_60n,equal_cell,87025,-0.2976307001986149,9.569615182021735,23.69245427950198,60.0
2005,hidden_cells,-1,5000,1,random,south_of_60n,spherical_cell_area,87025,-0.2479535003570165,9.318864110794,22.596298003091373,60.0
2005,hidden_cells,-1,5000,1,random,60_to_90n,equal_cell,10463,-0.9614176777629267,14.984521800644153,36.83690233234762,60.0
2005,hidden_cells,-1,5000,1,random,60_to_90n,spherical_cell_area,10463,-1.0564464294054274,17.01800986674195,41.24936012861881,60.0
2005,hidden_cells,-1,5000,1,historical_density,global,equal_cell,97488,-5.099736671790308,16.022934420605512,35.700839149646775,60.0
2005,hidden_cells,-1,5000,1,historical_density,global,spherical_cell_area,97488,-1.674660668514115,12.751739406076476,29.33555845169517,60.0
2005,hidden_cells,-1,5000,1,historical_density,south_of_60n,equal_cell,87025,-0.4055009044631185,11.826998554582287,26.961397612734014,60.0
2005,hidden_cells,-1,5000,1,historical_density,south_of_60n,spherical_cell_area,87025,-0.2387073095378794,11.421700149604304,25.67281680254581,60.0
2005,hidden_cells,-1,5000,1,historical_density,60_to_90n,equal_cell,10463,-44.14359289387276,50.92222895760932,76.35073376448308,60.0
2005,hidden_cells,-1,5000,1,historical_density,60_to_90n,spherical_cell_area,10463,-38.27369897479196,46.65127896436922,77.43293050912308,60.0
2005,hidden_cells,-1,5000,2,random,global,equal_cell,97488,0.9475592683017892,11.76244967386422,30.80534577226959,60.0
2005,hidden_cells,-1,5000,2,random,global,spherical_cell_area,97488,0.9220718137333344,10.816553734326204,27.720198522113183,60.0
2005,hidden_cells,-1,5000,2,random,south_of_60n,equal_cell,87025,0.8465318203531627,10.653247566798584,27.48510663741324,60.0
2005,hidden_cells,-1,5000,2,random,south_of_60n,spherical_cell_area,87025,0.8009989753496554,10.276646886252808,25.697255147508752,60.0
2005,hidden_cells,-1,5000,2,random,60_to_90n,equal_cell,10463,1.7878453867887636,20.98813192249145,50.58364465269235,60.0
2005,hidden_cells,-1,5000,2,random,60_to_90n,spherical_cell_area,10463,4.007930711694512,24.57749610124818,59.35161595833831,60.0
2005,hidden_cells,-1,5000,2,historical_density,global,equal_cell,97488,-4.842970716232021,15.62142339727672,34.65295807069796,60.0
2005,hidden_cells,-1,5000,2,historical_density,global,spherical_cell_area,97488,-1.6048432177892509,12.59310393476825,28.88046220629424,60.0
2005,hidden_cells,-1,5000,2,historical_density,south_of_60n,equal_cell,87025,-0.427201603419847,11.836734186542463,27.018143706120423,60.0
2005,hidden_cells,-1,5000,2,historical_density,south_of_60n,spherical_cell_area,87025,-0.2492665714883146,11.383195681002988,25.663378014305263,60.0
2005,hidden_cells,-1,5000,2,historical_density,60_to_90n,equal_cell,10463,-41.57070722033977,47.10021328202762,71.53359877021174,60.0
2005,hidden_cells,-1,5000,2,historical_density,60_to_90n,spherical_cell_area,10463,-36.15527014839312,43.43078974805055,72.84537425295905,60.0
2005,hidden_cells,-1,5000,3,random,global,equal_cell,97488,0.2283031077646536,10.425608650719242,25.21675530973144,60.0
2005,hidden_cells,-1,5000,3,random,global,spherical_cell_area,97488,-0.0250791989586234,9.689671425862384,23.242454407261626,60.0
2005,hidden_cells,-1,5000,3,random,south_of_60n,equal_cell,87025,-0.1919264262435324,9.542747894403236,23.16632587168144,60.0
2005,hidden_cells,-1,5000,3,random,south_of_60n,spherical_cell_area,87025,-0.2007258133408708,9.293958837113802,22.16826951791783,60.0
2005,hidden_cells,-1,5000,3,random,60_to_90n,equal_cell,10463,3.7235219930807575,17.768718401115933,38.22331656896254,60.0
2005,hidden_cells,-1,5000,3,random,60_to_90n,spherical_cell_area,10463,4.451735544332963,19.77544482745196,42.23133375961466,60.0
2005,hidden_cells,-1,5000,3,historical_density,global,equal_cell,97488,-5.57715751742732,16.206580799126076,36.50490965978283,60.0
2005,hidden_cells,-1,5000,3,historical_density,global,spherical_cell_area,97488,-2.2136927829607176,12.847570426372853,29.94991343261366,60.0
2005,hidden_cells,-1,5000,3,historical_density,south_of_60n,equal_cell,87025,-0.9828411099081265,11.94364329900992,27.527231866936525,60.0
2005,hidden_cells,-1,5000,3,historical_density,south_of_60n,spherical_cell_area,87025,-0.7420047412574408,11.44580038938262,26.054305709394765,60.0
2005,hidden_cells,-1,5000,3,historical_density,60_to_90n,equal_cell,10463,-43.78994403796233,51.663155008015366,78.19175697739261,60.0
2005,hidden_cells,-1,5000,3,historical_density,60_to_90n,spherical_cell_area,10463,-39.72352322173658,48.57535709834029,80.3594676222685,60.0
2005,hidden_cells,-1,5000,4,random,global,equal_cell,97488,0.0995454536507992,10.571868704477556,25.385104280106876,60.0
2005,hidden_cells,-1,5000,4,random,global,spherical_cell_area,97488,0.1515016683300536,9.881671952390349,23.363978186883354,60.0
2005,hidden_cells,-1,5000,4,random,south_of_60n,equal_cell,87025,0.1013901556544713,9.750317584727636,23.306309797745453,60.0
2005,hidden_cells,-1,5000,4,random,south_of_60n,spherical_cell_area,87025,0.1390480361565962,9.486901912629577,22.233596958557165,60.0
2005,hidden_cells,-1,5000,4,random,60_to_90n,equal_cell,10463,0.0842023214832019,17.4050414270463,38.55238692488318,60.0
2005,hidden_cells,-1,5000,4,random,60_to_90n,spherical_cell_area,10463,0.4689151540254498,19.94342202042617,43.12278917247992,60.0
2005,hidden_cells,-1,5000,4,historical_density,global,equal_cell,97488,-4.314979162614247,15.634571112167588,34.27715824294452,60.0
2005,hidden_cells,-1,5000,4,historical_density,global,spherical_cell_area,97488,-1.1646814116455118,12.752389118556565,28.65671621130927,60.0
2005,hidden_cells,-1,5000,4,historical_density,south_of_60n,equal_cell,87025,-0.1337240132062621,11.94742358463351,26.69364779475597,60.0
2005,hidden_cells,-1,5000,4,historical_density,south_of_60n,spherical_cell_area,87025,0.111595296042893,11.574975464434669,25.45207342644304,60.0
2005,hidden_cells,-1,5000,4,historical_density,60_to_90n,equal_cell,10463,-39.09216824578636,46.30206739274229,70.85664809247747,60.0
2005,hidden_cells,-1,5000,4,historical_density,60_to_90n,spherical_cell_area,10463,-33.69394137827867,42.76186481647504,72.39298656129213,60.0
2005,hidden_cells,-1,5000,5,random,global,equal_cell,97488,0.2604314812207225,10.228225338086256,24.938003102066784,60.0
2005,hidden_cells,-1,5000,5,random,global,spherical_cell_area,97488,0.1705084209006719,9.710247307227466,23.143469722147746,60.0
2005,hidden_cells,-1,5000,5,random,south_of_60n,equal_cell,87025,0.3246104911507825,9.66744477631434,23.18171561084362,60.0
2005,hidden_cells,-1,5000,5,random,south_of_60n,spherical_cell_area,87025,0.2073491715967713,9.440299419295,22.186808345820115,60.0
2005,hidden_cells,-1,5000,5,random,60_to_90n,equal_cell,10463,-0.2733712846364383,14.892463930096268,36.39814501889697,60.0
2005,hidden_cells,-1,5000,5,random,60_to_90n,spherical_cell_area,10463,-0.768474755349477,16.590577388549157,40.50814097113903,60.0
2005,hidden_cells,-1,5000,5,historical_density,global,equal_cell,97488,-4.395416158898391,15.529845995935617,34.183895254284295,60.0
2005,hidden_cells,-1,5000,5,historical_density,global,spherical_cell_area,97488,-1.5836544429116863,12.835023334021834,28.90641198862395,60.0
2005,hidden_cells,-1,5000,5,historical_density,south_of_60n,equal_cell,87025,-0.6046449494929615,12.023269102685967,27.120941665605347,60.0
