validation_scheme,budget,domain,weighting,strategy,n_units,mean_of_unit_bias,median_unit_bias,minimum_unit_bias,maximum_unit_bias,units_below_zero,mean_of_unit_mae,mean_of_unit_rmse
hidden_cells,5000,60_to_90n,equal_cell,historical_density,3,-36.562976897746324,-39.54101121865183,-42.41360135651439,-27.734318118072743,3,49.176493570448635,76.88145226697121
hidden_cells,5000,60_to_90n,equal_cell,random,3,-0.1221785122600904,-0.014730055521665317,-0.48393260639341007,0.13212712513480426,2,17.43912897216575,42.828857929104196
hidden_cells,5000,60_to_90n,spherical_cell_area,historical_density,3,-33.49665874356293,-35.734517412032055,-37.123090043589826,-27.632368775066915,3,46.405845694187754,78.69261052083387
hidden_cells,5000,60_to_90n,spherical_cell_area,random,3,0.06203181886790743,0.24821787930360167,-0.4348393478111882,0.3727169251113088,1,19.624048584948163,47.39163093077152
hidden_cells,5000,global,equal_cell,historical_density,3,-4.821721798214945,-5.172579755527504,-5.1833192898547225,-4.109266349262609,3,16.366403404175927,35.800685519904484
hidden_cells,5000,global,equal_cell,random,3,0.0648271151886352,0.10055865094777712,-0.02366751658634337,0.11759021120447186,1,10.93617525469852,25.935714235208774
hidden_cells,5000,global,spherical_cell_area,historical_density,3,-1.9895644631556177,-2.035603095241357,-2.0438978756609223,-1.8891924185645745,3,13.404085312905316,29.931441308551857
hidden_cells,5000,global,spherical_cell_area,random,3,0.059256187861666317,0.06119917307906515,0.0026676262599261923,0.11390176424600762,0,10.301184138633568,23.962550494444116
hidden_cells,5000,south_of_60n,equal_cell,historical_density,3,-1.0054764422092366,-1.0525002073956111,-1.2688306508189386,-0.6950984684131601,3,12.421652201536325,26.89366471014371
hidden_cells,5000,south_of_60n,equal_cell,random,3,0.08731076793205395,0.09676317900961147,0.03167007186124458,0.13349905292530578,0,10.154326306168103,22.998522361627124
hidden_cells,5000,south_of_60n,spherical_cell_area,historical_density,3,-0.7533921494210426,-0.7134353158014366,-1.0399411478480765,-0.5067999846136149,3,12.109270179374803,26.21434248523508
hidden_cells,5000,south_of_60n,spherical_cell_area,random,3,0.05914728673062192,0.053861544774540845,0.019833093935211602,0.10374722148211331,0,9.935404076192166,22.5114697387143
whole_blocks,5000,60_to_90n,equal_cell,historical_density,15,-37.835198060879286,-36.75313774087298,-50.643334933588434,-27.05186878259184,15,50.11026587818517,77.65811595898975
whole_blocks,5000,60_to_90n,equal_cell,random,15,-0.13090897103888952,-0.4765689697961272,-4.286485514150693,3.216868294817041,8,19.14903497398334,42.9440629126633
whole_blocks,5000,60_to_90n,spherical_cell_area,historical_density,15,-33.78297889880712,-35.419829241526266,-46.67890220396655,-24.476656132913764,15,46.7620456254402,79.26283103726671
whole_blocks,5000,60_to_90n,spherical_cell_area,random,15,-0.1441217635124497,-0.25045273418366254,-4.999283958877338,5.6156779069350105,8,21.39493592206011,47.735391904891586
whole_blocks,5000,global,equal_cell,historical_density,15,-4.850685123557378,-4.846604710114148,-6.779866349627059,-2.3190366262355786,15,17.808777790241205,36.485646605547814
whole_blocks,5000,global,equal_cell,random,15,0.10350693529749057,0.15810641625436372,-0.8813146832134638,1.186351281795048,7,12.828210348179457,27.549236067348048
whole_blocks,5000,global,spherical_cell_area,historical_density,15,-1.7440556031864334,-1.9337071420474004,-3.33389121206015,0.3402755127342353,14,14.82718595259151,30.164618890584855
whole_blocks,5000,global,spherical_cell_area,random,15,0.13994504561437335,0.47254390378575417,-1.5509314760193302,1.3674237025353382,6,12.224899507595433,25.421544923226463
whole_blocks,5000,south_of_60n,equal_cell,historical_density,15,-0.8396256382237808,-1.1777608878124668,-2.078458816344783,0.8006244330815822,10,13.882139834305182,27.07749960253726
whole_blocks,5000,south_of_60n,equal_cell,random,15,0.14851012899737157,0.2681847838924023,-1.125460698032328,1.3339081594957745,7,12.060378527996619,24.68470636491758
whole_blocks,5000,south_of_60n,spherical_cell_area,historical_density,15,-0.4683667771006283,-0.5937121141174629,-2.0600435668217836,1.1143109174990289,9,13.559406061257642,26.183706603717074
whole_blocks,5000,south_of_60n,spherical_cell_area,random,15,0.1623017698872195,0.5581592942655484,-1.635903360808323,1.3845646677116838,6,11.862197684613895,23.969405835048917
