validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
hidden_cells,2005,-1,5000,60_to_90n,equal_cell,-42.41360135651439,-0.014730055521665317,49.59116975945009,17.926346197918996,74.75155324282721,42.32854283527739,-42.398871300992724,31.664823561531094,32.423010407549825
hidden_cells,2005,-1,5000,60_to_90n,spherical_cell_area,-37.123090043589826,0.3727169251113088,45.79876199111214,20.291700455614098,75.94523607222877,47.36873105307814,-37.49580696870113,25.50706153549804,28.576505019150623
hidden_cells,2005,-1,5000,global,equal_cell,-5.172579755527504,0.11759021120447186,16.02524453593963,10.782642385456018,35.45457834329955,26.494569312158184,-5.290169966731976,5.242602150483613,8.960009031141368
hidden_cells,2005,-1,5000,global,spherical_cell_area,-1.8891924185645745,0.11390176424600762,12.887378966278622,10.0437667396257,29.32711507490534,24.108854197154955,-2.003094182810582,2.8436122266529207,5.218260877750385
hidden_cells,2005,-1,5000,south_of_60n,equal_cell,-0.6950984684131601,0.13349905292530578,11.989619421161237,9.923756168968799,27.127392486541215,23.843248862989775,-0.828597521338466,2.065863252192438,3.28414362355144
hidden_cells,2005,-1,5000,south_of_60n,spherical_cell_area,-0.5067999846136149,0.10374722148211331,11.596109763859255,9.641691834845616,25.833509956808047,22.686249777082224,-0.6105472060957282,1.9544179290136388,3.147260179725823
hidden_cells,2010,-1,5000,60_to_90n,equal_cell,-27.734318118072743,-0.48393260639341007,49.279746915421114,18.256861663658377,82.98136165923893,51.12884840644351,-27.250385511679333,31.022885251762737,31.85251325279542
hidden_cells,2010,-1,5000,60_to_90n,spherical_cell_area,-27.632368775066915,-0.4348393478111882,47.20807229598722,20.379388831394188,85.7458494382135,55.38533926591964,-27.197529427255727,26.828683464593034,30.360510172293857
hidden_cells,2010,-1,5000,global,equal_cell,-4.109266349262609,-0.02366751658634337,16.430125416159676,11.039887373868492,37.555325789589396,27.607048007991427,-4.085598832676266,5.390238042291184,9.94827778159797
hidden_cells,2010,-1,5000,global,spherical_cell_area,-2.0438978756609223,0.0026676262599261923,13.423270292642774,10.308279524016251,31.0595415085865,24.834001443616565,-2.0465655019208486,3.114990768626523,6.225540064969934
hidden_cells,2010,-1,5000,south_of_60n,equal_cell,-1.2688306508189386,0.03167007186124458,12.480621368509315,10.172191861152932,27.398769440575524,23.20281370421705,-1.3005007226801832,2.308429507356383,4.195955736358474
hidden_cells,2010,-1,5000,south_of_60n,spherical_cell_area,-1.0399411478480765,0.019833093935211602,12.097732733074492,9.913142277033845,26.713186086851437,22.801614619560336,-1.059774241783288,2.184590456040647,3.9115714672911004
hidden_cells,2014,-1,5000,60_to_90n,equal_cell,-39.54101121865183,0.13212712513480426,48.658564036474715,16.134179054919887,72.91144189884747,35.029182545591695,-39.67313834378663,32.52438498155483,37.882259353255776
