validation_scheme,year,spatial_fold,budget,domain,weighting,strategy,n_seeds,mean_bias,sd_bias,mean_mae,mean_rmse
hidden_cells,2005,-1,5000,60_to_90n,equal_cell,historical_density,20,-42.41360135651439,3.4361380793076504,49.59116975945009,74.75155324282721
hidden_cells,2005,-1,5000,60_to_90n,equal_cell,random,20,-0.014730055521665317,2.0146754158675995,17.926346197918996,42.32854283527739
hidden_cells,2005,-1,5000,60_to_90n,spherical_cell_area,historical_density,20,-37.123090043589826,3.047938405463312,45.79876199111214,75.94523607222877
hidden_cells,2005,-1,5000,60_to_90n,spherical_cell_area,random,20,0.3727169251113088,2.5550494749947212,20.291700455614098,47.36873105307814
hidden_cells,2005,-1,5000,global,equal_cell,historical_density,20,-5.172579755527504,0.5166972869530844,16.02524453593963,35.45457834329955
hidden_cells,2005,-1,5000,global,equal_cell,random,20,0.11759021120447186,0.41154028585647634,10.782642385456018,26.494569312158184
hidden_cells,2005,-1,5000,global,spherical_cell_area,historical_density,20,-1.8891924185645745,0.35639098375967987,12.887378966278622,29.32711507490534
hidden_cells,2005,-1,5000,global,spherical_cell_area,random,20,0.11390176424600762,0.3428258331465524,10.0437667396257,24.108854197154955
hidden_cells,2005,-1,5000,south_of_60n,equal_cell,historical_density,20,-0.6950984684131601,0.3084610632084325,11.989619421161237,27.127392486541215
hidden_cells,2005,-1,5000,south_of_60n,equal_cell,random,20,0.13349905292530578,0.31687655725714625,9.923756168968799,23.843248862989775
hidden_cells,2005,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.5067999846136149,0.3132943140822827,11.596109763859255,25.833509956808047
hidden_cells,2005,-1,5000,south_of_60n,spherical_cell_area,random,20,0.10374722148211331,0.30118732760737266,9.641691834845616,22.686249777082224
hidden_cells,2010,-1,5000,60_to_90n,equal_cell,historical_density,20,-27.734318118072743,8.009610967480358,49.279746915421114,82.98136165923893
hidden_cells,2010,-1,5000,60_to_90n,equal_cell,random,20,-0.48393260639341007,1.605239362526236,18.256861663658377,51.12884840644351
hidden_cells,2010,-1,5000,60_to_90n,spherical_cell_area,historical_density,20,-27.632368775066915,6.404312353243904,47.20807229598722,85.7458494382135
hidden_cells,2010,-1,5000,60_to_90n,spherical_cell_area,random,20,-0.4348393478111882,2.018795294067854,20.379388831394188,55.38533926591964
hidden_cells,2010,-1,5000,global,equal_cell,historical_density,20,-4.109266349262609,0.8773839332177366,16.430125416159676,37.555325789589396
hidden_cells,2010,-1,5000,global,equal_cell,random,20,-0.02366751658634337,0.3692519536888249,11.039887373868492,27.607048007991427
hidden_cells,2010,-1,5000,global,spherical_cell_area,historical_density,20,-2.0438978756609223,0.3655196018565354,13.423270292642774,31.0595415085865
hidden_cells,2010,-1,5000,global,spherical_cell_area,random,20,0.0026676262599261923,0.31052586666795645,10.308279524016251,24.834001443616565
hidden_cells,2010,-1,5000,south_of_60n,equal_cell,historical_density,20,-1.2688306508189386,0.3342530781785469,12.480621368509315,27.398769440575524
hidden_cells,2010,-1,5000,south_of_60n,equal_cell,random,20,0.03167007186124458,0.29437864467384833,10.172191861152932,23.20281370421705
hidden_cells,2010,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-1.0399411478480765,0.3236411334768096,12.097732733074492,26.713186086851437
hidden_cells,2010,-1,5000,south_of_60n,spherical_cell_area,random,20,0.019833093935211602,0.27118170925596913,9.913142277033845,22.801614619560336
hidden_cells,2014,-1,5000,60_to_90n,equal_cell,historical_density,20,-39.54101121865183,4.896083329578523,48.658564036474715,72.91144189884747
hidden_cells,2014,-1,5000,60_to_90n,equal_cell,random,20,0.13212712513480426,1.273912670922088,16.134179054919887,35.029182545591695
hidden_cells,2014,-1,5000,60_to_90n,spherical_cell_area,historical_density,20,-35.734517412032055,4.202639659059171,46.2107027954639,74.38674605205937
hidden_cells,2014,-1,5000,60_to_90n,spherical_cell_area,random,20,0.24821787930360167,1.5447142431653464,18.201056467836203,39.420822473316754
hidden_cells,2014,-1,5000,global,equal_cell,historical_density,20,-5.1833192898547225,0.575291766192919,16.643840260428476,34.392152426824495
hidden_cells,2014,-1,5000,global,equal_cell,random,20,0.10055865094777712,0.3224643904883375,10.985996004771057,23.705525385476705
hidden_cells,2014,-1,5000,global,spherical_cell_area,historical_density,20,-2.035603095241357,0.3374878222527808,13.90160667979455,29.40766734216374
hidden_cells,2014,-1,5000,global,spherical_cell_area,random,20,0.06119917307906515,0.2990033092214744,10.551506152258751,22.944795842560833
hidden_cells,2014,-1,5000,south_of_60n,equal_cell,historical_density,20,-1.0525002073956111,0.2981359590186633,12.794715814938424,26.154832203314395
hidden_cells,2014,-1,5000,south_of_60n,equal_cell,random,20,0.09676317900961147,0.2927123136990357,10.36703088838258,21.94950451767455
hidden_cells,2014,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.7134353158014366,0.32363389509730545,12.633968041190666,26.096331412045753
hidden_cells,2014,-1,5000,south_of_60n,spherical_cell_area,random,20,0.053861544774540845,0.28979648402641706,10.251378116697035,22.046544819500344
whole_blocks,2005,0,5000,60_to_90n,equal_cell,historical_density,20,-43.41028489485036,3.62618419625234,51.332664057603324,77.49860421955655
whole_blocks,2005,0,5000,60_to_90n,equal_cell,random,20,-0.9412882935266811,3.428644507787773,21.836752818370364,48.07698559944885
whole_blocks,2005,0,5000,60_to_90n,spherical_cell_area,historical_density,20,-38.44474250528426,3.2145630132172527,47.21618455950031,77.75169997697044
whole_blocks,2005,0,5000,60_to_90n,spherical_cell_area,random,20,-0.25045273418366254,4.027040474041329,25.119256187458987,53.15334232709372
whole_blocks,2005,0,5000,global,equal_cell,historical_density,20,-4.846604710114148,0.5457283183812605,17.602641155902344,33.02855072344445
whole_blocks,2005,0,5000,global,equal_cell,random,20,0.6426126416014897,0.5166019803689373,13.098274810904917,25.85785066272677
whole_blocks,2005,0,5000,global,spherical_cell_area,historical_density,20,-1.260562549342532,0.4021242982957222,14.334504773046627,26.065234823166207
whole_blocks,2005,0,5000,global,spherical_cell_area,random,20,0.8307135862555217,0.39730837734293917,12.158177634519994,23.111105184421632
whole_blocks,2005,0,5000,south_of_60n,equal_cell,historical_density,20,0.1319810606028891,0.365224800899909,13.248082377800163,21.34576182108528
whole_blocks,2005,0,5000,south_of_60n,equal_cell,random,20,0.8470948544006637,0.33865047221780475,11.97013397846147,21.273580643669266
whole_blocks,2005,0,5000,south_of_60n,spherical_cell_area,historical_density,20,0.3463799017043659,0.3641803378431754,12.913498119862657,21.14400544399893
whole_blocks,2005,0,5000,south_of_60n,spherical_cell_area,random,20,0.877437006242582,0.3698047801329086,11.59805482522988,20.804443160754197
whole_blocks,2005,1,5000,60_to_90n,equal_cell,historical_density,20,-43.95788671217469,3.7771943720779766,51.872290002491376,74.40893163132166
whole_blocks,2005,1,5000,60_to_90n,equal_cell,random,20,3.0795259818121172,5.66564949204029,19.864030678510396,37.71336029107569
whole_blocks,2005,1,5000,60_to_90n,spherical_cell_area,historical_density,20,-35.57148230863218,2.9876038758206143,46.13484813331432,73.34846576936019
whole_blocks,2005,1,5000,60_to_90n,spherical_cell_area,random,20,5.6156779069350105,6.896267294646588,22.564445531001013,41.30904479677807
whole_blocks,2005,1,5000,global,equal_cell,historical_density,20,-3.651627213967159,0.4763748645966923,16.124942176352263,28.858136522968902
whole_blocks,2005,1,5000,global,equal_cell,random,20,0.6724207642119725,0.965380072893557,11.65576708041506,20.677362498208964
whole_blocks,2005,1,5000,global,spherical_cell_area,historical_density,20,-0.4860581699910149,0.44582868020135574,13.181827421792741,22.15708457926165
whole_blocks,2005,1,5000,global,spherical_cell_area,random,20,0.834493546387989,0.771946564751794,10.998573174730945,18.760509725800173
