density_bin,n_cells,density_min,density_median,density_max,signed_error_historical_density_mean,signed_error_historical_density_median,signed_error_historical_density_q25,signed_error_historical_density_q75,signed_error_historical_spatial_month_balanced_mean,signed_error_historical_spatial_month_balanced_median,signed_error_historical_spatial_month_balanced_q25,signed_error_historical_spatial_month_balanced_q75
0,20160,0.0,0.0,0.0,-9.42329216003418,-1.244178056716919,-12.720309495925903,6.033677697181702,-7.930800437927246,-0.7560782432556152,-10.47436785697937,6.231091260910034
1,1921,1.0,4.0,7.0,1.0861401557922363,1.979750394821167,-3.766940116882324,6.750455856323242,0.8727704286575317,1.3710596561431885,-4.300242900848389,6.108750343322754
2,1686,8.0,12.0,16.0,0.6510133743286133,1.4367709159851074,-4.4832375049591064,6.879552602767944,0.5101415514945984,1.0907118320465088,-4.3701571226119995,6.759822845458984
3,1803,17.0,21.0,27.0,0.12603166699409485,0.9808505773544312,-5.3670549392700195,6.532492399215698,0.007690226659178734,0.7073009610176086,-5.096702575683594,6.090849161148071
4,1710,28.0,33.0,39.0,-0.4067903161048889,0.4242246150970459,-5.889159679412842,5.834272265434265,-0.3006647229194641,0.31000250577926636,-5.4144381284713745,5.360665678977966
5,1821,40.0,48.0,57.0,-0.43388956785202026,0.4653540551662445,-5.46727180480957,5.591116428375244,-0.3599783778190613,0.24378086626529694,-5.443256855010986,5.038502216339111
6,1732,58.0,68.5,83.0,-0.4968430995941162,-0.17036154866218567,-5.671433806419373,5.381995797157288,-0.4634608030319214,0.09052670001983643,-5.386918902397156,4.863232254981995
7,1764,84.0,102.0,126.0,-0.6396767497062683,-0.04549475014209747,-5.606679439544678,5.406288146972656,-0.276764452457428,-0.06116660684347153,-5.358534932136536,5.205652832984924
8,1782,127.0,162.5,215.0,-0.7622485160827637,-0.20921984314918518,-6.478284955024719,5.218279480934143,-0.2727261483669281,-0.06884968280792236,-5.496152281761169,5.016913652420044
9,1768,216.0,297.0,430.0,-0.5111514925956726,0.058507878333330154,-5.565057277679443,5.326501488685608,0.03613193333148956,0.19163382053375244,-4.514924764633179,4.840451598167419
10,1773,431.0,767.0,47575.0,-0.9171814322471619,-0.17822220921516418,-5.747886657714844,4.473170280456543,0.11251477897167206,0.07033510506153107,-4.00709342956543,4.3867621421813965
