domain,weighting,response,coverage_group,n_cells,cell_fraction_of_domain,weight_fraction_of_domain,weight_fraction_of_global,group_mean_signed_error,contribution_to_domain_mean,contribution_to_global_mean
global,equal_cell,signed_error_historical_density,all,37920,1.0,1.0,1.0,-5.114058410736266,-5.114058410736266,-5.114058410736266
global,equal_cell,signed_error_historical_density,zero_density,20160,0.5316455696202531,0.5316455696202531,0.5316455696202531,-9.423291782157953,-5.009851327223216,-5.009851327223216
global,equal_cell,signed_error_historical_density,positive_density,17760,0.46835443037974683,0.46835443037974683,0.46835443037974683,-0.2224962053386752,-0.10420708351305041,-0.10420708351305041
global,equal_cell,signed_error_historical_spatial_month_balanced,all,37920,1.0,1.0,1.0,-4.2198733495534295,-4.2198733495534295,-4.2198733495534295
global,equal_cell,signed_error_historical_spatial_month_balanced,zero_density,20160,0.5316455696202531,0.5316455696202531,0.5316455696202531,-7.9308006705634195,-4.216375040046375,-4.216375040046375
global,equal_cell,signed_error_historical_spatial_month_balanced,positive_density,17760,0.46835443037974683,0.46835443037974683,0.46835443037974683,-0.007469363542087841,-0.0034983095070537993,-0.0034983095070537993
global,spherical_cell_area,signed_error_historical_density,all,37920,1.0,1.0,1.0,-1.8333869483509018,-1.8333869483509018,-1.8333869483509018
global,spherical_cell_area,signed_error_historical_density,zero_density,20160,0.5316455696202531,0.49247437352508644,0.49247437352508644,-3.844532031366052,-1.8933335036441243,-1.8933335036441243
global,spherical_cell_area,signed_error_historical_density,positive_density,17760,0.46835443037974683,0.5075256264749137,0.5075256264749137,0.1181153269236645,0.05994655529322207,0.05994655529322207
global,spherical_cell_area,signed_error_historical_spatial_month_balanced,all,37920,1.0,1.0,1.0,-1.4701336549527384,-1.4701336549527384,-1.4701336549527384
global,spherical_cell_area,signed_error_historical_spatial_month_balanced,zero_density,20160,0.5316455696202531,0.49247437352508644,0.49247437352508644,-3.128375646108179,-1.540644836468263,-1.540644836468263
global,spherical_cell_area,signed_error_historical_spatial_month_balanced,positive_density,17760,0.46835443037974683,0.5075256264749137,0.5075256264749137,0.13893127329405966,0.07051118151552507,0.07051118151552507
south_of_60n,equal_cell,signed_error_historical_density,all,33822,1.0,1.0,0.8919303797468354,-0.6436500016267661,-0.6436500016267661,-0.5740909903750128
south_of_60n,equal_cell,signed_error_historical_density,zero_density,16611,0.49113003370587194,0.49113003370587194,0.43805379746835443,-1.2753413155128166,-0.6263584232743007,-0.558668106328676
south_of_60n,equal_cell,signed_error_historical_density,positive_density,17211,0.5088699662941281,0.5088699662941281,0.453876582278481,-0.033980347628672844,-0.017291578352465507,-0.015422884046336717
south_of_60n,equal_cell,signed_error_historical_spatial_month_balanced,all,33822,1.0,1.0,0.8919303797468354,-0.2898717649838983,-0.2898717649838983,-0.2585454334199738
south_of_60n,equal_cell,signed_error_historical_spatial_month_balanced,zero_density,16611,0.49113003370587194,0.49113003370587194,0.43805379746835443,-0.6500037834073852,-0.31923638005381333,-0.2847366256904028
south_of_60n,equal_cell,signed_error_historical_spatial_month_balanced,positive_density,17211,0.5088699662941281,0.5088699662941281,0.453876582278481,0.0577055377894758,0.029364615069915084,0.026191192270429008
