validation_scheme,year,spatial_fold,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,0,390000,97488,38.9861920814695,16.537990703796343,-6.090506306845913,8.095258423688904,64.48136982146261,146.83954499878098,0.2375578740572943,0.617584520964812
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,1,390000,97488,34.32229092431781,14.686345013766788,-3.809200873551088,8.115281881668864,48.6156539329333,118.19499182028558,0.4090676255424041,0.6776613138751089
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,2,390000,97488,36.44140065478297,15.543703049765435,-4.429572293931559,8.161670146986523,51.8542399243082,145.61689137663294,0.3338448811627278,0.6507811715625283
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,3,390000,97488,36.33319353108199,15.491225173774296,-4.652544896560376,8.147688548730287,54.70562030028255,135.19434317030067,0.3377950976075569,0.6493756242250138
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,4,390000,97488,34.68445997596042,15.275558559399787,-4.164987486611118,8.673765336393643,52.42674365528188,112.23287028255052,0.3965307832463266,0.6738981491254513
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,5,390000,97488,34.29838678727336,14.269661954513676,-2.5213283429450986,8.058262887136692,44.1601095819285,114.42727016256444,0.4098904616103518,0.6726482290270426
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,6,390000,97488,34.264316432259186,14.979348466306194,-3.835973083733462,8.36028061533247,50.64144078236765,113.75670681652528,0.4110622517478077,0.6789976677318136
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,7,390000,97488,35.37514112465381,15.341208824645344,-4.706015361840437,8.166620137180757,56.548634462634574,120.01431285671808,0.3722573889773448,0.664540252533401
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,8,390000,97488,35.07984949935936,14.924392610568654,-3.590938920521187,8.525607776694699,46.54940026306618,122.39303795826946,0.3826937270452905,0.6676553579050799
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,9,390000,97488,34.261375054061666,14.944846995875665,-3.438684313137681,8.418808422401213,50.03445924246331,109.12420251869372,0.4111633606844319,0.6780571100066811
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,10,390000,97488,36.0536102845915,15.896091225614134,-4.614155106937737,8.491572457138659,57.98941776482073,123.36037694104463,0.3479471953855247,0.6490417929186554
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,11,390000,97488,33.66701007156474,14.722098674278008,-2.430463745870137,8.396112177400028,48.32745568778724,107.329091651441,0.4314163788434004,0.6800140610018295
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,12,390000,97488,35.58020102177118,15.398396006826845,-4.865030368194738,8.345532888037496,54.43552786245272,118.91301989589223,0.364958595404228,0.6649180375658886
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,13,390000,97488,35.0562747012585,15.095227537783884,-4.287118717446953,8.084775596420485,53.33832495428883,117.52511150694151,0.3835231479782784,0.6702803944236468
