validation_scheme,budget,domain,weighting,comparison,n_units,mean_random_bias,mean_comparator_bias,mean_difference_bias,median_difference_bias,units_difference_bias_below_zero,mean_random_mae,mean_comparator_mae,mean_difference_mae,median_difference_mae,units_difference_mae_below_zero,mean_random_rmse,mean_comparator_rmse,mean_difference_rmse,median_difference_rmse,units_difference_rmse_below_zero
hidden_cells_latitude_cap,5000,global,equal_cell,historical_density_minus_random,3,0.028153821717392575,-1.15272823184368,-1.1808820535610725,-1.0250839111761483,3,9.75502588578115,12.320796159642972,2.5657702738618196,2.5646939699400644,0,21.404195889335224,25.923662474948213,4.519466585612988,4.579036247943208,0
hidden_cells_latitude_cap,5000,global,equal_cell,spatial_coverage_minus_random,3,0.028153821717392575,-0.03594065045220731,-0.06409447216959989,-0.08525514607596647,3,9.75502588578115,9.89781462281683,0.14278873703567818,0.14439880524592397,0,21.404195889335224,19.477210120832613,-1.9269857685026086,-1.9597509148315702,3
hidden_cells_latitude_cap,5000,global,spherical_cell_area,historical_density_minus_random,3,0.03090602816170145,-0.804454272578622,-0.8353603007403235,-0.7252866994052666,3,9.508374988006128,11.974661311194923,2.466286323188795,2.4425023192938085,0,20.765759233444065,24.989925405871716,4.224166172427652,4.2633276411403,0
hidden_cells_latitude_cap,5000,global,spherical_cell_area,spatial_coverage_minus_random,3,0.03090602816170145,0.029289565783824207,-0.001616462377877238,-0.009347401847824656,2,9.508374988006128,9.69480118306373,0.18642619505760058,0.1799016453177238,0,20.765759233444065,19.0209555773007,-1.7448036561433635,-1.75138300037516,3
hidden_cells_latitude_cap,5000,south_of_60n,equal_cell,historical_density_minus_random,3,0.028153821717392575,-1.15272823184368,-1.1808820535610725,-1.0250839111761483,3,9.75502588578115,12.320796159642972,2.5657702738618196,2.5646939699400644,0,21.404195889335224,25.923662474948213,4.519466585612988,4.579036247943208,0
hidden_cells_latitude_cap,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,3,0.028153821717392575,-0.03594065045220731,-0.06409447216959989,-0.08525514607596647,3,9.75502588578115,9.89781462281683,0.14278873703567818,0.14439880524592397,0,21.404195889335224,19.477210120832613,-1.9269857685026086,-1.9597509148315702,3
hidden_cells_latitude_cap,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,3,0.03090602816170145,-0.804454272578622,-0.8353603007403235,-0.7252866994052666,3,9.508374988006128,11.974661311194923,2.466286323188795,2.4425023192938085,0,20.765759233444065,24.989925405871716,4.224166172427652,4.2633276411403,0
hidden_cells_latitude_cap,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,3,0.03090602816170145,0.029289565783824207,-0.001616462377877238,-0.009347401847824656,2,9.508374988006128,9.69480118306373,0.18642619505760058,0.1799016453177238,0,20.765759233444065,19.0209555773007,-1.7448036561433635,-1.75138300037516,3
whole_blocks_latitude_cap,5000,global,equal_cell,historical_density_minus_random,15,-0.02314598610473367,-0.8904371224352364,-0.8672911363305027,-0.9429580542289,12,12.116537242725084,14.066569773551105,1.9500325308260225,1.7918364996512643,0,26.410257827567715,27.787204239282236,1.3769464117145205,1.756571163076849,3
whole_blocks_latitude_cap,5000,global,equal_cell,spatial_coverage_minus_random,15,-0.02314598610473367,-0.02497583087167509,-0.0018298447669414352,-0.24565128565405003,12,12.116537242725084,12.039794954483503,-0.07674228824158338,-0.10701423371909335,9,26.410257827567715,23.972492429918365,-2.4377653976493483,-2.991293151980223,14
whole_blocks_latitude_cap,5000,global,spherical_cell_area,historical_density_minus_random,15,-0.009394735035218208,-0.48249625715219874,-0.47310152211698053,-0.6773836030794853,12,11.836209588792608,13.691082718741802,1.8548731299491952,1.8058091791162738,0,25.42221727388502,26.7324644613149,1.310247187429879,1.9690353614195608,3
whole_blocks_latitude_cap,5000,global,spherical_cell_area,spatial_coverage_minus_random,15,-0.009394735035218208,0.08482513704171399,0.09421987207693218,-0.15537425402993454,11,11.836209588792608,11.829358257905149,-0.0068513308874601124,-0.09524610533686406,8,25.42221727388502,23.221072143403536,-2.201145130481485,-2.666418045191918,14
whole_blocks_latitude_cap,5000,south_of_60n,equal_cell,historical_density_minus_random,15,-0.02314598610473367,-0.8904371224352364,-0.8672911363305027,-0.9429580542289,12,12.116537242725084,14.066569773551105,1.9500325308260225,1.7918364996512643,0,26.410257827567715,27.787204239282236,1.3769464117145205,1.756571163076849,3
whole_blocks_latitude_cap,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,15,-0.02314598610473367,-0.02497583087167509,-0.0018298447669414352,-0.24565128565405003,12,12.116537242725084,12.039794954483503,-0.07674228824158338,-0.10701423371909335,9,26.410257827567715,23.972492429918365,-2.4377653976493483,-2.991293151980223,14
whole_blocks_latitude_cap,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,15,-0.009394735035218208,-0.48249625715219874,-0.47310152211698053,-0.6773836030794853,12,11.836209588792608,13.691082718741802,1.8548731299491952,1.8058091791162738,0,25.42221727388502,26.7324644613149,1.310247187429879,1.9690353614195608,3
whole_blocks_latitude_cap,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,15,-0.009394735035218208,0.08482513704171399,0.09421987207693218,-0.15537425402993454,11,11.836209588792608,11.829358257905149,-0.0068513308874601124,-0.09524610533686406,8,25.42221727388502,23.221072143403536,-2.201145130481485,-2.666418045191918,14
