year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,0,random,1000,0,1,81,0.081,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,2,92,0.092,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,3,80,0.08,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,4,83,0.083,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,5,88,0.088,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,6,89,0.089,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,7,68,0.068,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,8,82,0.082,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,9,81,0.081,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,10,83,0.083,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,11,82,0.082,0.08333333333333333,0.08333333333333333
2005,0,random,1000,0,12,91,0.091,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,1,410,0.082,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,2,434,0.0868,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,3,436,0.0872,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,4,423,0.0846,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,5,454,0.0908,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,6,409,0.0818,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,7,365,0.073,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,8,418,0.0836,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,9,401,0.0802,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,10,427,0.0854,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,11,410,0.082,0.08333333333333333,0.08333333333333333
2005,0,random,5000,0,12,413,0.0826,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,1,61,0.061,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,2,94,0.094,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,3,80,0.08,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,4,46,0.046,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,5,97,0.097,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,6,89,0.089,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,7,94,0.094,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,8,88,0.088,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,9,100,0.1,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,10,82,0.082,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,11,100,0.1,0.08333333333333333,0.08333333333333333
2005,0,historical_density,1000,0,12,69,0.069,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,1,403,0.0806,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,2,463,0.0926,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,3,355,0.071,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,4,292,0.0584,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,5,465,0.093,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,6,401,0.0802,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,7,402,0.0804,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,8,382,0.0764,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,9,429,0.0858,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,10,487,0.0974,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,11,542,0.1084,0.08333333333333333,0.08333333333333333
2005,0,historical_density,5000,0,12,379,0.0758,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,1,75,0.075,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,2,82,0.082,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,3,83,0.083,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,4,89,0.089,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,5,84,0.084,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,6,89,0.089,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,7,88,0.088,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,8,86,0.086,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,9,88,0.088,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,10,80,0.08,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,11,71,0.071,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,1000,0,12,85,0.085,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,1,419,0.0838,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,2,445,0.089,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,3,413,0.0826,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,4,436,0.0872,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,5,409,0.0818,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,6,441,0.0882,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,7,395,0.079,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,8,426,0.0852,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,9,384,0.0768,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,10,416,0.0832,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,11,423,0.0846,0.08333333333333333,0.08333333333333333
2005,0,spatial_coverage,5000,0,12,393,0.0786,0.08333333333333333,0.08333333333333333
2005,0,random,1000,1,1,68,0.068,0.08333333333333333,0.08333333333333333
2005,0,random,1000,1,2,89,0.089,0.08333333333333333,0.08333333333333333
2005,0,random,1000,1,3,71,0.071,0.08333333333333333,0.08333333333333333
2005,0,random,1000,1,4,84,0.084,0.08333333333333333,0.08333333333333333
