year,spatial_fold,strategy,budget,seed,months_covered,month_count_cv,mean_abs_equal_deviation_pp,max_abs_equal_deviation_pp,max_abs_candidate_deviation_pp
2005,0,random,1000,0,12,0.07337574531137657,0.4444444444444439,1.5333333333333323,1.5333333333333323
2005,0,random,5000,0,12,0.0504031745031997,0.3066666666666667,1.0333333333333332,1.0333333333333332
2005,0,historical_density,1000,0,12,0.19394844675841053,1.311111111111111,3.733333333333333,3.733333333333333
2005,0,historical_density,5000,0,12,0.15163535207859674,1.008888888888889,2.506666666666667,2.506666666666667
2005,0,spatial_coverage,1000,0,12,0.06505382386916238,0.4277777777777777,1.2333333333333334,1.2333333333333334
2005,0,spatial_coverage,5000,0,12,0.044203167307332175,0.29999999999999993,0.6533333333333335,0.6533333333333335
2005,0,random,1000,1,12,0.12464349160706308,0.8777777777777779,1.7666666666666677,1.7666666666666677
2005,0,random,5000,1,12,0.047692347394524416,0.31888888888888883,0.8866666666666676,0.8866666666666676
2005,0,historical_density,1000,1,12,0.1491039905569264,1.0500000000000003,2.433333333333333,2.433333333333333
2005,0,historical_density,5000,1,12,0.1513819011639106,1.028888888888889,2.9466666666666668,2.9466666666666668
2005,0,spatial_coverage,1000,1,12,0.10725670142233537,0.6833333333333332,1.7666666666666677,1.7666666666666677
2005,0,spatial_coverage,5000,1,12,0.03001333037168651,0.2099999999999999,0.42666666666666686,0.42666666666666686
2005,0,random,1000,2,12,0.12588883985484972,0.8777777777777775,1.7666666666666677,1.7666666666666677
2005,0,random,5000,2,12,0.0468597908659439,0.3366666666666667,0.6066666666666665,0.6066666666666665
2005,0,historical_density,1000,2,12,0.18611824198610946,1.2055555555555553,3.2333333333333334,3.2333333333333334
2005,0,historical_density,5000,2,12,0.14983938067143762,0.89,3.1066666666666674,3.1066666666666674
2005,0,spatial_coverage,1000,2,12,0.1179152237838694,0.8333333333333334,1.7666666666666677,1.7666666666666677
2005,0,spatial_coverage,5000,2,12,0.03759574444002938,0.25999999999999995,0.6733333333333327,0.6733333333333327
2005,0,random,1000,3,12,0.14436065946094873,0.9722222222222221,2.866666666666667,2.866666666666667
2005,0,random,5000,3,12,0.043590824722640885,0.2944444444444445,0.7466666666666677,0.7466666666666677
