year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,0,spatial_coverage_minus_random,rmse,0.1270540315937474
2005,all,500,0,spatial_coverage_minus_random,mae,-0.07886196713105065
2005,all,500,0,spatial_coverage_minus_random,median_absolute_error,-0.13037941921999163
2005,all,500,0,spatial_coverage_minus_random,p95_absolute_error,-0.591111664137145
2005,all,500,0,spatial_coverage_minus_random,p99_absolute_error,-2.993827071846667
2005,all,500,0,historical_density_minus_random,rmse,7.399444485206029
2005,all,500,0,historical_density_minus_random,mae,4.62289626086373
2005,all,500,0,historical_density_minus_random,median_absolute_error,2.651344961035761
2005,all,500,0,historical_density_minus_random,p95_absolute_error,18.576937569116936
2005,all,500,0,historical_density_minus_random,p99_absolute_error,33.023112284221924
2005,all,500,1,spatial_coverage_minus_random,rmse,1.5263957154032894
2005,all,500,1,spatial_coverage_minus_random,mae,2.3758590329407916
2005,all,500,1,spatial_coverage_minus_random,median_absolute_error,2.1900050064551237
2005,all,500,1,spatial_coverage_minus_random,p95_absolute_error,6.117107737439937
2005,all,500,1,spatial_coverage_minus_random,p99_absolute_error,8.164751552551962
2005,all,500,1,historical_density_minus_random,rmse,12.869774299780616
2005,all,500,1,historical_density_minus_random,mae,7.59119440194922
2005,all,500,1,historical_density_minus_random,median_absolute_error,3.632310082084871
2005,all,500,1,historical_density_minus_random,p95_absolute_error,40.087238392649674
2005,all,500,1,historical_density_minus_random,p99_absolute_error,66.67339685406047
2005,all,500,2,spatial_coverage_minus_random,rmse,-0.02924691085917175
2005,all,500,2,spatial_coverage_minus_random,mae,0.3679528610374412
2005,all,500,2,spatial_coverage_minus_random,median_absolute_error,0.6385012018560872
2005,all,500,2,spatial_coverage_minus_random,p95_absolute_error,0.5126296051816155
2005,all,500,2,spatial_coverage_minus_random,p99_absolute_error,-2.426896858262211
2005,all,500,2,historical_density_minus_random,rmse,9.186467261892535
2005,all,500,2,historical_density_minus_random,mae,5.825171788281796
2005,all,500,2,historical_density_minus_random,median_absolute_error,3.3149540706975245
2005,all,500,2,historical_density_minus_random,p95_absolute_error,20.445224985272752
2005,all,500,2,historical_density_minus_random,p99_absolute_error,46.78380363893153
2005,all,500,3,spatial_coverage_minus_random,rmse,-1.1934010010004528
2005,all,500,3,spatial_coverage_minus_random,mae,0.19639515053518508
2005,all,500,3,spatial_coverage_minus_random,median_absolute_error,0.8220283709813145
2005,all,500,3,spatial_coverage_minus_random,p95_absolute_error,-1.9673685938121963
2005,all,500,3,spatial_coverage_minus_random,p99_absolute_error,-19.60629591608371
2005,all,500,3,historical_density_minus_random,rmse,10.065714187744732
2005,all,500,3,historical_density_minus_random,mae,5.8068842604285
2005,all,500,3,historical_density_minus_random,median_absolute_error,2.950075175888543
2005,all,500,3,historical_density_minus_random,p95_absolute_error,25.68023271343526
2005,all,500,3,historical_density_minus_random,p99_absolute_error,46.7431341866065
2005,all,500,4,spatial_coverage_minus_random,rmse,0.4146437936251459
2005,all,500,4,spatial_coverage_minus_random,mae,0.7943341071657102
2005,all,500,4,spatial_coverage_minus_random,median_absolute_error,0.7725672451026355
2005,all,500,4,spatial_coverage_minus_random,p95_absolute_error,2.1847650818565043
2005,all,500,4,spatial_coverage_minus_random,p99_absolute_error,-1.644953066819994
2005,all,500,4,historical_density_minus_random,rmse,11.124918282423756
2005,all,500,4,historical_density_minus_random,mae,6.668379542093582
2005,all,500,4,historical_density_minus_random,median_absolute_error,3.1580819024133007
2005,all,500,4,historical_density_minus_random,p95_absolute_error,32.78895674383774
2005,all,500,4,historical_density_minus_random,p99_absolute_error,52.50720539908801
2005,all,500,5,spatial_coverage_minus_random,rmse,-0.07831412286891037
2005,all,500,5,spatial_coverage_minus_random,mae,0.6073502867781961
2005,all,500,5,spatial_coverage_minus_random,median_absolute_error,0.8817414163403328
2005,all,500,5,spatial_coverage_minus_random,p95_absolute_error,1.9192485334469396
2005,all,500,5,spatial_coverage_minus_random,p99_absolute_error,0.34587569700993015
2005,all,500,5,historical_density_minus_random,rmse,7.530408006534927
2005,all,500,5,historical_density_minus_random,mae,4.719539984794466
2005,all,500,5,historical_density_minus_random,median_absolute_error,2.952920000923939
2005,all,500,5,historical_density_minus_random,p95_absolute_error,17.3688662480725
2005,all,500,5,historical_density_minus_random,p99_absolute_error,34.4295121616437
2005,all,500,6,spatial_coverage_minus_random,rmse,-0.2026573678493051
2005,all,500,6,spatial_coverage_minus_random,mae,0.5479388340895568
2005,all,500,6,spatial_coverage_minus_random,median_absolute_error,0.9125023114109467
2005,all,500,6,spatial_coverage_minus_random,p95_absolute_error,-0.6075723043474994
2005,all,500,6,spatial_coverage_minus_random,p99_absolute_error,-7.021501611590239
2005,all,500,6,historical_density_minus_random,rmse,7.698692623777955
2005,all,500,6,historical_density_minus_random,mae,4.688486663885136
2005,all,500,6,historical_density_minus_random,median_absolute_error,2.2667751848445903
2005,all,500,6,historical_density_minus_random,p95_absolute_error,21.747984508957906
2005,all,500,6,historical_density_minus_random,p99_absolute_error,35.37694823292301
2005,all,500,7,spatial_coverage_minus_random,rmse,0.2434964063341205
2005,all,500,7,spatial_coverage_minus_random,mae,0.3001723869875903
2005,all,500,7,spatial_coverage_minus_random,median_absolute_error,0.26998703923365497
2005,all,500,7,spatial_coverage_minus_random,p95_absolute_error,1.5111913351251758
2005,all,500,7,spatial_coverage_minus_random,p99_absolute_error,3.1114894451037003
2005,all,500,7,historical_density_minus_random,rmse,5.921392226176604
2005,all,500,7,historical_density_minus_random,mae,4.463785071119361
2005,all,500,7,historical_density_minus_random,median_absolute_error,3.052122026941845
2005,all,500,7,historical_density_minus_random,p95_absolute_error,15.776062565772342
2005,all,500,7,historical_density_minus_random,p99_absolute_error,23.294629845402795
2005,all,500,8,spatial_coverage_minus_random,rmse,21.8642414033383
2005,all,500,8,spatial_coverage_minus_random,mae,10.645899225239813
2005,all,500,8,spatial_coverage_minus_random,median_absolute_error,4.374395792984302
2005,all,500,8,spatial_coverage_minus_random,p95_absolute_error,45.42120392919248
2005,all,500,8,spatial_coverage_minus_random,p99_absolute_error,103.52829705327916
2005,all,500,8,historical_density_minus_random,rmse,7.591911968824544
2005,all,500,8,historical_density_minus_random,mae,4.441846599661801
2005,all,500,8,historical_density_minus_random,median_absolute_error,2.405763524812869
2005,all,500,8,historical_density_minus_random,p95_absolute_error,17.43368042104087
2005,all,500,8,historical_density_minus_random,p99_absolute_error,27.963600479942727
2005,all,500,9,spatial_coverage_minus_random,rmse,-0.2849302229927346
2005,all,500,9,spatial_coverage_minus_random,mae,0.19875695012054706
2005,all,500,9,spatial_coverage_minus_random,median_absolute_error,-0.3012573524925699
2005,all,500,9,spatial_coverage_minus_random,p95_absolute_error,2.7691869019288973
2005,all,500,9,spatial_coverage_minus_random,p99_absolute_error,3.1313694925240014
2005,all,500,9,historical_density_minus_random,rmse,7.919089827008076
2005,all,500,9,historical_density_minus_random,mae,6.165003739845165
2005,all,500,9,historical_density_minus_random,median_absolute_error,3.6568804911263157
2005,all,500,9,historical_density_minus_random,p95_absolute_error,22.622264612656465
2005,all,500,9,historical_density_minus_random,p99_absolute_error,25.134559184418535
2005,all,500,10,spatial_coverage_minus_random,rmse,0.692945693994865
2005,all,500,10,spatial_coverage_minus_random,mae,1.6234856731816407
2005,all,500,10,spatial_coverage_minus_random,median_absolute_error,1.6620824434232304
2005,all,500,10,spatial_coverage_minus_random,p95_absolute_error,5.226820583495389
2005,all,500,10,spatial_coverage_minus_random,p99_absolute_error,-12.309669772215997
2005,all,500,10,historical_density_minus_random,rmse,5.9760213184156115
2005,all,500,10,historical_density_minus_random,mae,4.720960174079217
2005,all,500,10,historical_density_minus_random,median_absolute_error,3.7334501860540854
2005,all,500,10,historical_density_minus_random,p95_absolute_error,15.291990586209245
2005,all,500,10,historical_density_minus_random,p99_absolute_error,6.390945784603204
2005,all,500,11,spatial_coverage_minus_random,rmse,-1.8820596081435603
2005,all,500,11,spatial_coverage_minus_random,mae,-0.5674512362939907
2005,all,500,11,spatial_coverage_minus_random,median_absolute_error,0.17642650847528785
2005,all,500,11,spatial_coverage_minus_random,p95_absolute_error,-3.2379618744025933
2005,all,500,11,spatial_coverage_minus_random,p99_absolute_error,-15.437106666253726
2005,all,500,11,historical_density_minus_random,rmse,6.3002021461476545
2005,all,500,11,historical_density_minus_random,mae,3.561504907927617
2005,all,500,11,historical_density_minus_random,median_absolute_error,1.8194941749532347
2005,all,500,11,historical_density_minus_random,p95_absolute_error,14.722091798638225
2005,all,500,11,historical_density_minus_random,p99_absolute_error,28.472472241241974
