evaluation_domain,budget,comparison,metric,n_years,years,mean_of_year_effects,minimum_year_effect,maximum_year_effect,years_effect_below_zero,years_effect_above_zero,years_interval_entirely_below_zero,years_interval_entirely_above_zero
all,500,historical_density_minus_random,mae,3,2005;2010;2014,4.815745281501794,4.464213375778476,5.224354155888936,0,3,0,3
all,500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.963543679259699,2.7786270531050334,3.0922560317407957,0,3,0,3
all,500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,18.74827850299118,17.42173747826197,20.899750868457048,0,3,0,3
all,500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,27.332045046833553,22.575438124845924,33.30628797230396,0,3,0,3
all,500,historical_density_minus_random,rmse,3,2005;2010;2014,7.262896415914756,6.8006234375598,8.073452438003281,0,3,0,3
all,500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.9457388086530766,0.7198807955783805,1.125990152489476,0,3,0,3
all,500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.9036278193452825,0.8753622133834043,0.9430404435033708,0,3,0,3
all,500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,2.307313443048945,1.3735295682724187,3.0674881123283813,0,3,0,0
all,500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,1.917414072407263,-0.020387323723617002,5.026473921514241,1,2,0,0
all,500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,0.764823325561844,0.31283873894800107,1.1964029868977932,0,3,0,0
all,1000,historical_density_minus_random,mae,3,2005;2010;2014,4.8846952528831755,4.651291748747721,5.079788846704532,0,3,0,3
all,1000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.710071632541123,2.6399975244314398,2.7543089157511447,0,3,0,3
all,1000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,19.897835458272073,17.904497523256815,21.31318512321562,0,3,0,3
all,1000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,37.193094723957266,34.654256547086064,39.396744497225114,0,3,0,3
all,1000,historical_density_minus_random,rmse,3,2005;2010;2014,7.602536821034974,7.345530948858401,8.006370846494239,0,3,0,3
all,1000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.606445603418051,0.3691010262760311,0.8067884576812077,0,3,0,2
all,1000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6281997768115768,0.512836655660395,0.6942268763777477,0,3,0,3
all,1000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.8196466764411252,1.3591606063952806,2.385778211714403,0,3,0,1
all,1000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-0.14385039719367665,-2.9202741421369947,2.03155029985347,1,2,0,0
all,1000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.05062493951137281,-0.5001940141910197,0.2807121243030279,1,2,0,0
all,2500,historical_density_minus_random,mae,3,2005;2010;2014,5.4049062961851035,5.088358926662781,5.854474876678301,0,3,0,3
all,2500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.3503902829856522,2.2950493581455733,2.439574796073279,0,3,0,3
all,2500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.209315762118155,23.430688085486327,27.955968376100675,0,3,0,3
all,2500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,50.977334425444475,42.50380991507896,59.45655849817668,0,3,0,3
all,2500,historical_density_minus_random,rmse,3,2005;2010;2014,8.915362479869733,7.675372171952047,10.387335657097873,0,3,0,3
all,2500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.3410556909513196,0.28598479602743054,0.3994905429945962,0,3,0,2
