year,spatial_fold,n_evaluation_month_cells,n_candidate_month_cells,evaluation_fraction,n_evaluation_blocks,longitude_degrees,latitude_degrees,buffer_degrees,n_seeds,budgets
2005,0,96240,391248,0.19742024419062623,56,20.0,10.0,0.0,20,1000;5000
2005,1,94032,393456,0.19289090192989367,56,20.0,10.0,0.0,20,1000;5000
2005,2,97752,389736,0.20052185899960615,57,20.0,10.0,0.0,20,1000;5000
2005,3,95988,391500,0.1969033083891296,57,20.0,10.0,0.0,20,1000;5000
2005,4,103476,384012,0.2122636864907444,56,20.0,10.0,0.0,20,1000;5000
2010,0,96240,391248,0.19742024419062623,56,20.0,10.0,0.0,20,1000;5000
2010,1,94032,393456,0.19289090192989367,56,20.0,10.0,0.0,20,1000;5000
2010,2,97752,389736,0.20052185899960615,57,20.0,10.0,0.0,20,1000;5000
2010,3,95988,391500,0.1969033083891296,57,20.0,10.0,0.0,20,1000;5000
2010,4,103476,384012,0.2122636864907444,56,20.0,10.0,0.0,20,1000;5000
2014,0,96240,391248,0.19742024419062623,56,20.0,10.0,0.0,20,1000;5000
2014,1,94032,393456,0.19289090192989367,56,20.0,10.0,0.0,20,1000;5000
2014,2,97752,389736,0.20052185899960615,57,20.0,10.0,0.0,20,1000;5000
2014,3,95988,391500,0.1969033083891296,57,20.0,10.0,0.0,20,1000;5000
2014,4,103476,384012,0.2122636864907444,56,20.0,10.0,0.0,20,1000;5000
