evaluation_domain,budget,comparison,metric,n_years,n_year_fold_units,mean_of_year_fold_effects,minimum_year_fold_effect,maximum_year_fold_effect,units_effect_below_zero,units_effect_above_zero,units_interval_entirely_below_zero,units_interval_entirely_above_zero
all,1000,historical_density_minus_random,mae,3,15,4.723432399867652,3.8953737329624163,6.207385484794267,0,15,0,15
all,1000,historical_density_minus_random,median_absolute_error,3,15,2.7350793020238666,2.335471896790054,3.5435390305570054,0,15,0,15
all,1000,historical_density_minus_random,p95_absolute_error,3,15,19.345719032721245,11.768472402828277,31.05881769629617,0,15,0,15
all,1000,historical_density_minus_random,p99_absolute_error,3,15,29.011091050778965,12.389896522736786,51.68375435719112,0,15,0,12
all,1000,historical_density_minus_random,rmse,3,15,7.063730948282065,5.189460664209983,10.823287228264782,0,15,0,15
all,1000,spatial_coverage_minus_random,mae,3,15,0.48637668121759453,0.08390358394147306,0.9607096563592566,0,15,0,7
all,1000,spatial_coverage_minus_random,median_absolute_error,3,15,0.6058556145429398,0.40894132857385007,0.874420171768611,0,15,0,15
all,1000,spatial_coverage_minus_random,p95_absolute_error,3,15,1.2388245828898385,0.30971849483968794,2.432090113164402,0,15,0,3
all,1000,spatial_coverage_minus_random,p99_absolute_error,3,15,-5.408402820305426,-33.70616272593219,6.524551397782318,7,8,4,1
all,1000,spatial_coverage_minus_random,rmse,3,15,-0.10836270546752758,-2.526056284820332,1.3255151749691891,5,10,4,2
all,5000,historical_density_minus_random,mae,3,15,4.980567442061745,3.9098966020255546,6.131048642638264,0,15,0,15
all,5000,historical_density_minus_random,median_absolute_error,3,15,2.0869951213863818,1.4676678301077815,2.554195431186372,0,15,0,15
all,5000,historical_density_minus_random,p95_absolute_error,3,15,22.98247236315268,15.564932880393243,31.460196284377293,0,15,0,15
all,5000,historical_density_minus_random,p99_absolute_error,3,15,47.94220438395758,31.884439902045223,67.69991319659448,0,15,0,15
all,5000,historical_density_minus_random,rmse,3,15,8.936410538199764,7.170700060717678,12.58663864857405,0,15,0,15
all,5000,spatial_coverage_minus_random,mae,3,15,0.6321554594469355,0.15953506759321306,1.379402424959508,0,15,0,13
all,5000,spatial_coverage_minus_random,median_absolute_error,3,15,0.6634886551535106,0.4090814985042911,1.0687892723772492,0,15,0,15
all,5000,spatial_coverage_minus_random,p95_absolute_error,3,15,1.2574125389133892,-0.023459794915508425,3.0545169946460393,1,14,0,9
all,5000,spatial_coverage_minus_random,p99_absolute_error,3,15,-3.590391538229789,-16.787720724093766,6.294130936597947,9,6,6,3
all,5000,spatial_coverage_minus_random,rmse,3,15,0.17881344750787895,-2.4961997865153185,2.922345039572091,8,7,6,5
spco2_le_threshold,1000,historical_density_minus_random,mae,3,15,4.706637489648126,3.8896860465686833,6.178764154279415,0,15,0,15
spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,3,15,2.7346563580775,2.3349149069928345,3.5421394954034495,0,15,0,15
spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,3,15,19.281640443124193,11.764681767851053,30.81584307840213,0,15,0,15
spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,3,15,29.287576881385167,13.020377505669497,51.82065447864695,0,15,0,13
spco2_le_threshold,1000,historical_density_minus_random,rmse,3,15,7.543339222803187,5.272937965727124,11.53398994101151,0,15,0,15
spco2_le_threshold,1000,spatial_coverage_minus_random,mae,3,15,0.4872479355473037,0.08219562411928694,0.9623612523152147,0,15,0,7
spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,3,15,0.6059262302922604,0.4090398351003901,0.8744174465545737,0,15,0,15
spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,3,15,1.2400294098243188,0.30750499633793427,2.4174707155613104,0,15,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,3,15,-5.082011274002625,-32.332717174128085,6.459717430221545,7,8,3,1
spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,3,15,-0.10866833493359741,-2.6686692326503705,1.3926663256053597,5,10,3,1
spco2_le_threshold,5000,historical_density_minus_random,mae,3,15,4.959600589789689,3.90739302058792,6.10741277796385,0,15,0,15
spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,3,15,2.086589806896355,1.4675288583208332,2.5533467059577575,0,15,0,15
spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,3,15,22.901522934753537,15.561704979210736,31.172248094132716,0,15,0,15
spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,3,15,47.9347274928077,31.886396981086826,67.44294062437731,0,15,0,15
spco2_le_threshold,5000,historical_density_minus_random,rmse,3,15,9.690600121259473,7.311922540131606,13.356024534905506,0,15,0,15
spco2_le_threshold,5000,spatial_coverage_minus_random,mae,3,15,0.6443323171616817,0.1637915731468979,1.3951419236260716,0,15,0,13
spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,3,15,0.6634490347433358,0.4090057167447726,1.0687292171932867,0,15,0,15
spco2_le_threshold,5000,spatial_coverage_minus_random,p95_absolute_error,3,15,1.258650726485518,-0.013472978551387627,3.0534291957997635,1,14,0,9
spco2_le_threshold,5000,spatial_coverage_minus_random,p99_absolute_error,3,15,-3.5558915494991625,-16.36899577874211,6.194321019326157,9,6,5,3
spco2_le_threshold,5000,spatial_coverage_minus_random,rmse,3,15,0.749790106519311,-0.8826444821188464,3.6788025955833357,7,8,1,5
