year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,0,historical_density,1000,0,306,654,12,1.0,699.869
2005,0,random,1000,0,539,939,12,0.108,6.691
2005,0,spatial_coverage,1000,0,592,1000,12,0.088,7.298
2005,0,historical_density,1000,1,303,650,12,1.0,718.345
2005,0,random,1000,1,544,949,12,0.127,8.106
2005,0,spatial_coverage,1000,1,595,1000,12,0.103,12.815
2005,0,historical_density,1000,2,310,685,12,1.0,677.295
2005,0,random,1000,2,548,941,12,0.129,7.494
2005,0,spatial_coverage,1000,2,600,1000,12,0.105,7.218
2005,0,historical_density,1000,3,307,679,12,1.0,692.452
2005,0,random,1000,3,539,939,12,0.13,12.188
2005,0,spatial_coverage,1000,3,601,1000,12,0.109,6.017
2005,0,historical_density,1000,4,306,655,12,1.0,738.856
2005,0,random,1000,4,552,947,12,0.123,8.076
2005,0,spatial_coverage,1000,4,589,1000,12,0.098,9.719
2005,0,historical_density,1000,5,319,668,12,1.0,675.891
2005,0,random,1000,5,544,949,12,0.124,10.758
2005,0,spatial_coverage,1000,5,592,1000,12,0.083,7.08
2005,0,historical_density,1000,6,318,660,12,1.0,728.857
2005,0,random,1000,6,546,940,12,0.12,8.245
2005,0,spatial_coverage,1000,6,592,1000,12,0.114,6.624
2005,0,historical_density,1000,7,308,667,12,1.0,676.112
2005,0,random,1000,7,543,944,12,0.123,6.989
2005,0,spatial_coverage,1000,7,596,1000,12,0.1,13.801
2005,0,historical_density,1000,8,312,661,12,1.0,723.578
2005,0,random,1000,8,561,940,12,0.106,9.405
2005,0,spatial_coverage,1000,8,583,1000,12,0.096,8.484
2005,0,historical_density,1000,9,297,682,12,1.0,739.599
2005,0,random,1000,9,544,946,12,0.106,10.81
2005,0,spatial_coverage,1000,9,596,1000,12,0.115,23.081
2005,0,historical_density,1000,10,310,655,12,1.0,721.241
2005,0,random,1000,10,543,947,12,0.128,15.306
2005,0,spatial_coverage,1000,10,605,1000,12,0.096,9.167
2005,0,historical_density,1000,11,306,653,12,1.0,711.966
2005,0,random,1000,11,552,949,12,0.104,9.822
2005,0,spatial_coverage,1000,11,594,1000,12,0.106,5.778
2005,0,historical_density,1000,12,308,660,12,1.0,744.843
2005,0,random,1000,12,539,940,12,0.137,24.952
2005,0,spatial_coverage,1000,12,586,1000,12,0.096,9.298
2005,0,historical_density,1000,13,294,658,12,1.0,708.63
2005,0,random,1000,13,553,950,12,0.117,7.807
2005,0,spatial_coverage,1000,13,589,1000,12,0.093,10.287
2005,0,historical_density,1000,14,317,663,12,1.0,697.683
2005,0,random,1000,14,548,944,12,0.115,9.016
2005,0,spatial_coverage,1000,14,603,1000,12,0.111,22.917
2005,0,historical_density,1000,15,300,656,12,1.0,725.368
2005,0,random,1000,15,555,944,12,0.123,7.965
2005,0,spatial_coverage,1000,15,597,1000,12,0.091,6.089
2005,0,historical_density,1000,16,310,657,12,1.0,694.211
2005,0,random,1000,16,544,948,12,0.121,10.174
2005,0,spatial_coverage,1000,16,604,1000,12,0.095,10.773
2005,0,historical_density,1000,17,316,679,12,1.0,741.078
2005,0,random,1000,17,531,942,12,0.111,5.906
2005,0,spatial_coverage,1000,17,578,1000,12,0.1,7.649
2005,0,historical_density,1000,18,304,654,12,1.0,717.28
2005,0,random,1000,18,545,957,12,0.097,13.135
2005,0,spatial_coverage,1000,18,607,1000,12,0.095,7.095
2005,0,historical_density,1000,19,325,669,12,1.0,689.438
2005,0,random,1000,19,544,943,12,0.105,8.576
2005,0,spatial_coverage,1000,19,588,1000,12,0.096,9.903
2005,0,historical_density,5000,0,498,1833,12,1.0,381.3652
2005,0,random,5000,0,775,3815,12,0.1094,7.2056
2005,0,spatial_coverage,5000,0,822,5000,12,0.1,9.7214
2005,0,historical_density,5000,1,504,1854,12,1.0,378.0824
2005,0,random,5000,1,780,3780,12,0.113,8.1938
2005,0,spatial_coverage,5000,1,822,5000,12,0.096,10.221
2005,0,historical_density,5000,2,507,1866,12,1.0,382.2684
2005,0,random,5000,2,782,3820,12,0.114,8.0182
2005,0,spatial_coverage,5000,2,822,5000,12,0.1026,10.0402
2005,0,historical_density,5000,3,505,1865,12,1.0,379.6704
2005,0,random,5000,3,782,3801,12,0.11,8.2182
2005,0,spatial_coverage,5000,3,822,5000,12,0.0998,9.575
2005,0,historical_density,5000,4,507,1884,12,1.0,383.7078
2005,0,random,5000,4,780,3760,12,0.1128,8.2032
2005,0,spatial_coverage,5000,4,822,5000,12,0.0972,11.5376
2005,0,historical_density,5000,5,510,1868,12,1.0,377.603
2005,0,random,5000,5,780,3804,12,0.1178,8.8496
2005,0,spatial_coverage,5000,5,822,5000,12,0.0916,10.9612
2005,0,historical_density,5000,6,506,1892,12,1.0,379.168
2005,0,random,5000,6,776,3754,12,0.1104,9.2372
2005,0,spatial_coverage,5000,6,822,5000,12,0.1006,10.9846
2005,0,historical_density,5000,7,502,1860,12,1.0,383.3372
2005,0,random,5000,7,781,3787,12,0.1114,6.9264
2005,0,spatial_coverage,5000,7,822,5000,12,0.103,9.1264
2005,0,historical_density,5000,8,492,1848,12,1.0,379.0952
