spatial_block,spatial_fold,lon_block,lat_block,month_grid_rows,longitude_center,latitude_center,longitude_width,latitude_width
3_1,0,3,1,1080,-110.0,-75.0,20.0,10.0
8_1,0,8,1,384,-10.0,-75.0,20.0,10.0
1_2,0,1,2,2400,-150.0,-65.0,20.0,10.0
6_2,0,6,2,2400,-50.0,-65.0,20.0,10.0
11_2,0,11,2,1788,50.0,-65.0,20.0,10.0
16_2,0,16,2,2040,150.0,-65.0,20.0,10.0
4_3,0,4,3,2400,-90.0,-55.0,20.0,10.0
9_3,0,9,3,2400,10.0,-55.0,20.0,10.0
14_3,0,14,3,2400,110.0,-55.0,20.0,10.0
2_4,0,2,4,2400,-130.0,-45.0,20.0,10.0
7_4,0,7,4,2400,-30.0,-45.0,20.0,10.0
12_4,0,12,4,2388,70.0,-45.0,20.0,10.0
17_4,0,17,4,2232,170.0,-45.0,20.0,10.0
0_5,0,0,5,2400,-170.0,-35.0,20.0,10.0
5_5,0,5,5,936,-70.0,-35.0,20.0,10.0
10_5,0,10,5,1968,30.0,-35.0,20.0,10.0
15_5,0,15,5,1656,130.0,-35.0,20.0,10.0
3_6,0,3,6,2400,-110.0,-25.0,20.0,10.0
8_6,0,8,6,2400,-10.0,-25.0,20.0,10.0
13_6,0,13,6,2400,90.0,-25.0,20.0,10.0
1_7,0,1,7,2400,-150.0,-15.0,20.0,10.0
11_7,0,11,7,2052,50.0,-15.0,20.0,10.0
16_7,0,16,7,2004,150.0,-15.0,20.0,10.0
4_8,0,4,8,2328,-90.0,-5.0,20.0,10.0
9_8,0,9,8,1392,10.0,-5.0,20.0,10.0
14_8,0,14,8,1776,110.0,-5.0,20.0,10.0
2_9,0,2,9,2400,-130.0,5.0,20.0,10.0
7_9,0,7,9,2400,-30.0,5.0,20.0,10.0
12_9,0,12,9,2376,70.0,5.0,20.0,10.0
17_9,0,17,9,2400,170.0,5.0,20.0,10.0
0_10,0,0,10,2400,-170.0,15.0,20.0,10.0
5_10,0,5,10,2244,-70.0,15.0,20.0,10.0
10_10,0,10,10,96,30.0,15.0,20.0,10.0
15_10,0,15,10,2220,130.0,15.0,20.0,10.0
3_11,0,3,11,1296,-110.0,25.0,20.0,10.0
8_11,0,8,11,708,-10.0,25.0,20.0,10.0
13_11,0,13,11,132,90.0,25.0,20.0,10.0
1_12,0,1,12,2400,-150.0,35.0,20.0,10.0
6_12,0,6,12,2400,-50.0,35.0,20.0,10.0
11_12,0,11,12,180,50.0,35.0,20.0,10.0
16_12,0,16,12,2340,150.0,35.0,20.0,10.0
4_13,0,4,13,468,-90.0,45.0,20.0,10.0
9_13,0,9,13,636,10.0,45.0,20.0,10.0
2_14,0,2,14,972,-130.0,55.0,20.0,10.0
7_14,0,7,14,2244,-30.0,55.0,20.0,10.0
17_14,0,17,14,2100,170.0,55.0,20.0,10.0
0_15,0,0,15,1608,-170.0,65.0,20.0,10.0
5_15,0,5,15,1500,-70.0,65.0,20.0,10.0
10_15,0,10,15,408,30.0,65.0,20.0,10.0
3_16,0,3,16,1548,-110.0,75.0,20.0,10.0
8_16,0,8,16,1692,-10.0,75.0,20.0,10.0
13_16,0,13,16,888,90.0,75.0,20.0,10.0
1_17,0,1,17,876,-150.0,85.0,20.0,10.0
6_17,0,6,17,576,-50.0,85.0,20.0,10.0
11_17,0,11,17,1008,50.0,85.0,20.0,10.0
16_17,0,16,17,900,150.0,85.0,20.0,10.0
4_1,1,4,1,732,-90.0,-75.0,20.0,10.0
9_1,1,9,1,12,10.0,-75.0,20.0,10.0
2_2,1,2,2,2400,-130.0,-65.0,20.0,10.0
7_2,1,7,2,2400,-30.0,-65.0,20.0,10.0
12_2,1,12,2,2076,70.0,-65.0,20.0,10.0
17_2,1,17,2,2400,170.0,-65.0,20.0,10.0
0_3,1,0,3,2400,-170.0,-55.0,20.0,10.0
5_3,1,5,3,2148,-70.0,-55.0,20.0,10.0
10_3,1,10,3,2400,30.0,-55.0,20.0,10.0
15_3,1,15,3,2400,130.0,-55.0,20.0,10.0
3_4,1,3,4,2400,-110.0,-45.0,20.0,10.0
8_4,1,8,4,2400,-10.0,-45.0,20.0,10.0
13_4,1,13,4,2400,90.0,-45.0,20.0,10.0
1_5,1,1,5,2400,-150.0,-35.0,20.0,10.0
6_5,1,6,5,1836,-50.0,-35.0,20.0,10.0
11_5,1,11,5,2400,50.0,-35.0,20.0,10.0
16_5,1,16,5,1356,150.0,-35.0,20.0,10.0
4_6,1,4,6,2400,-90.0,-25.0,20.0,10.0
9_6,1,9,6,1824,10.0,-25.0,20.0,10.0
14_6,1,14,6,1776,110.0,-25.0,20.0,10.0
2_7,1,2,7,2400,-130.0,-15.0,20.0,10.0
7_7,1,7,7,2244,-30.0,-15.0,20.0,10.0
12_7,1,12,7,2400,70.0,-15.0,20.0,10.0
17_7,1,17,7,2376,170.0,-15.0,20.0,10.0
0_8,1,0,8,2400,-170.0,-5.0,20.0,10.0
5_8,1,5,8,48,-70.0,-5.0,20.0,10.0
10_8,1,10,8,132,30.0,-5.0,20.0,10.0
15_8,1,15,8,1968,130.0,-5.0,20.0,10.0
3_9,1,3,9,2400,-110.0,5.0,20.0,10.0
8_9,1,8,9,1740,-10.0,5.0,20.0,10.0
13_9,1,13,9,2220,90.0,5.0,20.0,10.0
1_10,1,1,10,2388,-150.0,15.0,20.0,10.0
6_10,1,6,10,2400,-50.0,15.0,20.0,10.0
11_10,1,11,10,1308,50.0,15.0,20.0,10.0
16_10,1,16,10,2400,150.0,15.0,20.0,10.0
4_11,1,4,11,1896,-90.0,25.0,20.0,10.0
14_11,1,14,11,432,110.0,25.0,20.0,10.0
2_12,1,2,12,2256,-130.0,35.0,20.0,10.0
7_12,1,7,12,2400,-30.0,35.0,20.0,10.0
