year,evaluation_domain,budget,comparison,metric,n_folds,folds,mean_of_fold_effects,minimum_fold_effect,maximum_fold_effect,folds_effect_below_zero,folds_effect_above_zero,folds_interval_entirely_below_zero,folds_interval_entirely_above_zero
2005,all,1000,historical_density_minus_random,mae,5,0;1;2;3;4,4.6315894217889415,3.6795544148358146,6.161255384609531,0,5,0,5
2005,all,1000,historical_density_minus_random,median_absolute_error,5,0;1;2;3;4,2.7699231375253377,2.3330319098428856,3.1622567883495547,0,5,0,5
2005,all,1000,historical_density_minus_random,p95_absolute_error,5,0;1;2;3;4,19.198968012398357,14.4982562706668,29.708525250390778,0,5,0,4
2005,all,1000,historical_density_minus_random,p99_absolute_error,5,0;1;2;3;4,25.96951595457198,-17.212580075221553,54.01722835578663,1,4,0,3
2005,all,1000,historical_density_minus_random,rmse,5,0;1;2;3;4,6.770988952960534,2.527872912125197,9.088578481584474,0,5,0,4
2005,all,1000,spatial_coverage_minus_random,mae,5,0;1;2;3;4,0.7196629211086027,-0.7961464780994397,1.7926137164884401,1,4,0,3
2005,all,1000,spatial_coverage_minus_random,median_absolute_error,5,0;1;2;3;4,0.7034600019016384,0.4274686617468767,1.088576806350244,0,5,0,5
2005,all,1000,spatial_coverage_minus_random,p95_absolute_error,5,0;1;2;3;4,1.8910660909727646,-2.4245594073877315,5.546960327286966,2,3,0,2
2005,all,1000,spatial_coverage_minus_random,p99_absolute_error,5,0;1;2;3;4,-7.111411276192355,-61.98521923988456,11.606613371840542,2,3,1,1
2005,all,1000,spatial_coverage_minus_random,rmse,5,0;1;2;3;4,0.7888346722579914,-5.01373801765025,5.109688629002393,2,3,0,2
2005,all,5000,historical_density_minus_random,mae,5,0;1;2;3;4,5.2274596415442,4.712144696675463,6.20547001412004,0,5,0,5
2005,all,5000,historical_density_minus_random,median_absolute_error,5,0;1;2;3;4,2.165429829048375,1.9507557118572556,2.448406196788397,0,5,0,5
2005,all,5000,historical_density_minus_random,p95_absolute_error,5,0;1;2;3;4,25.245244131194916,21.578721815467997,30.78267788550891,0,5,0,5
2005,all,5000,historical_density_minus_random,p99_absolute_error,5,0;1;2;3;4,50.24152402417185,42.00901828940008,67.8655068319479,0,5,0,5
2005,all,5000,historical_density_minus_random,rmse,5,0;1;2;3;4,9.14022387958239,8.005933549065878,9.81567301031038,0,5,0,5
2005,all,5000,spatial_coverage_minus_random,mae,5,0;1;2;3;4,0.9329088553153099,0.43613788438718293,1.3419555849703564,0,5,0,3
2005,all,5000,spatial_coverage_minus_random,median_absolute_error,5,0;1;2;3;4,0.6796146502649979,0.4728641366681071,0.9189531808003324,0,5,0,5
2005,all,5000,spatial_coverage_minus_random,p95_absolute_error,5,0;1;2;3;4,2.0382321999958637,1.0099148638563662,2.783582196792439,0,5,0,3
2005,all,5000,spatial_coverage_minus_random,p99_absolute_error,5,0;1;2;3;4,2.977041559778631,-3.6807196967585556,11.615704977580572,2,3,0,2
2005,all,5000,spatial_coverage_minus_random,rmse,5,0;1;2;3;4,1.609155633791221,-1.853043506054331,4.4879151810813465,2,3,1,3
2005,spco2_le_threshold,1000,historical_density_minus_random,mae,5,0;1;2;3;4,4.610078208918764,3.6290817947048866,6.116381624729098,0,5,0,5
2005,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,5,0;1;2;3;4,2.7696989304751485,2.3328114746715416,3.162190613852449,0,5,0,5
2005,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,5,0;1;2;3;4,19.1303784150667,14.427002334923918,29.505015212713364,0,5,0,4
2005,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,5,0;1;2;3;4,26.172683768823322,-16.141315531336495,54.410649408879635,1,4,0,3
2005,spco2_le_threshold,1000,historical_density_minus_random,rmse,5,0;1;2;3;4,7.315799035025643,1.9714489496631067,11.858808615398797,0,5,0,4
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,5,0;1;2;3;4,0.7209137111640314,-0.8024550086945602,1.8013332823618273,1,4,0,3
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,5,0;1;2;3;4,0.7033427801185443,0.4274058541511863,1.0878953941641505,0,5,0,5
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,5,0;1;2;3;4,1.901440573560098,-2.3733422660685535,5.545157491112924,2,3,0,2
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,5,0;1;2;3;4,-6.758505407742893,-60.03651509108281,11.606613371840542,2,3,1,1
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,5,0;1;2;3;4,0.7045058793007108,-5.840583256055729,5.109688629002393,2,3,0,2
2005,spco2_le_threshold,5000,historical_density_minus_random,mae,5,0;1;2;3;4,5.206380798478845,4.704140634519335,6.157734466250927,0,5,0,5
2005,spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,5,0;1;2;3;4,2.1652680848186163,1.9507557118572556,2.4489264413699345,0,5,0,5
2005,spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,5,0;1;2;3;4,25.146923417487347,21.578721815467997,30.5997751810577,0,5,0,5
2005,spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,5,0;1;2;3;4,50.082877348346,42.00901828940008,67.71677624277149,0,5,0,5
2005,spco2_le_threshold,5000,historical_density_minus_random,rmse,5,0;1;2;3;4,10.202805444707064,8.240149218747288,13.244828783856866,0,5,0,5
2005,spco2_le_threshold,5000,spatial_coverage_minus_random,mae,5,0;1;2;3;4,0.9511773851495778,0.47323636941326513,1.34442685453704,0,5,0,4
2005,spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,5,0;1;2;3;4,0.6796340960849421,0.47366639378736863,0.9189531808003324,0,5,0,5
2005,spco2_le_threshold,5000,spatial_coverage_minus_random,p95_absolute_error,5,0;1;2;3;4,2.0379681769099345,1.0224106974274392,2.781797357396873,0,5,0,3
2005,spco2_le_threshold,5000,spatial_coverage_minus_random,p99_absolute_error,5,0;1;2;3;4,2.881618105822515,-4.026993798565857,11.390621764188822,2,3,0,2
2005,spco2_le_threshold,5000,spatial_coverage_minus_random,rmse,5,0;1;2;3;4,2.520864699857042,-0.07263836233907099,4.833321478794163,1,4,0,3
