year,spatial_fold,evaluation_domain,budget,seed,comparison,metric,difference
2005,0,all,1000,0,historical_density_minus_random,rmse,6.2440632383392725
2005,0,all,1000,0,historical_density_minus_random,mae,5.093847718424463
2005,0,all,1000,0,historical_density_minus_random,median_absolute_error,3.870700118674165
2005,0,all,1000,0,historical_density_minus_random,p95_absolute_error,16.63342304800279
2005,0,all,1000,0,historical_density_minus_random,p99_absolute_error,38.7085930935945
2005,0,all,1000,0,spatial_coverage_minus_random,rmse,4.154738048276819
2005,0,all,1000,0,spatial_coverage_minus_random,mae,1.213382512020079
2005,0,all,1000,0,spatial_coverage_minus_random,median_absolute_error,0.2221313812782455
2005,0,all,1000,0,spatial_coverage_minus_random,p95_absolute_error,3.0592444251165887
2005,0,all,1000,0,spatial_coverage_minus_random,p99_absolute_error,44.94344658378152
2005,0,all,1000,1,historical_density_minus_random,rmse,6.620320500122656
2005,0,all,1000,1,historical_density_minus_random,mae,4.410746925223375
2005,0,all,1000,1,historical_density_minus_random,median_absolute_error,3.0606148181314285
2005,0,all,1000,1,historical_density_minus_random,p95_absolute_error,15.156835923617123
2005,0,all,1000,1,historical_density_minus_random,p99_absolute_error,35.6138924769848
2005,0,all,1000,1,spatial_coverage_minus_random,rmse,1.1746281631533186
2005,0,all,1000,1,spatial_coverage_minus_random,mae,0.7265430378214148
2005,0,all,1000,1,spatial_coverage_minus_random,median_absolute_error,0.3840740015038495
2005,0,all,1000,1,spatial_coverage_minus_random,p95_absolute_error,1.4907296173280429
2005,0,all,1000,1,spatial_coverage_minus_random,p99_absolute_error,6.183648145027362
2005,0,all,1000,2,historical_density_minus_random,rmse,9.764718982220213
2005,0,all,1000,2,historical_density_minus_random,mae,5.987276003613125
2005,0,all,1000,2,historical_density_minus_random,median_absolute_error,3.762922504628449
2005,0,all,1000,2,historical_density_minus_random,p95_absolute_error,23.50704382366552
2005,0,all,1000,2,historical_density_minus_random,p99_absolute_error,62.06444702440746
2005,0,all,1000,2,spatial_coverage_minus_random,rmse,3.402731514205037
2005,0,all,1000,2,spatial_coverage_minus_random,mae,2.5018369916324232
2005,0,all,1000,2,spatial_coverage_minus_random,median_absolute_error,1.5671219761939597
2005,0,all,1000,2,spatial_coverage_minus_random,p95_absolute_error,7.097643211048215
2005,0,all,1000,2,spatial_coverage_minus_random,p99_absolute_error,15.3623568093699
2005,0,all,1000,3,historical_density_minus_random,rmse,0.6355814107024997
2005,0,all,1000,3,historical_density_minus_random,mae,2.3045528674235953
2005,0,all,1000,3,historical_density_minus_random,median_absolute_error,2.622907647195916
2005,0,all,1000,3,historical_density_minus_random,p95_absolute_error,11.267959816277326
2005,0,all,1000,3,historical_density_minus_random,p99_absolute_error,-29.291022651361175
2005,0,all,1000,3,spatial_coverage_minus_random,rmse,-0.6959058837501928
2005,0,all,1000,3,spatial_coverage_minus_random,mae,0.2845670021395712
2005,0,all,1000,3,spatial_coverage_minus_random,median_absolute_error,0.9368293447451226
2005,0,all,1000,3,spatial_coverage_minus_random,p95_absolute_error,-2.0692764348218304
2005,0,all,1000,3,spatial_coverage_minus_random,p99_absolute_error,-15.374583981627211
2005,0,all,1000,4,historical_density_minus_random,rmse,4.588707201942697
2005,0,all,1000,4,historical_density_minus_random,mae,3.139867086046001
2005,0,all,1000,4,historical_density_minus_random,median_absolute_error,1.6885197647799828
2005,0,all,1000,4,historical_density_minus_random,p95_absolute_error,12.399936855817764
2005,0,all,1000,4,historical_density_minus_random,p99_absolute_error,20.718227883965156
2005,0,all,1000,4,spatial_coverage_minus_random,rmse,-0.09405977107722308
2005,0,all,1000,4,spatial_coverage_minus_random,mae,0.16192864292968068
2005,0,all,1000,4,spatial_coverage_minus_random,median_absolute_error,0.10561677731755026
2005,0,all,1000,4,spatial_coverage_minus_random,p95_absolute_error,1.2787297840970666
2005,0,all,1000,4,spatial_coverage_minus_random,p99_absolute_error,0.11487820947709793
2005,0,all,5000,0,historical_density_minus_random,rmse,7.452184759974674
2005,0,all,5000,0,historical_density_minus_random,mae,4.88556278489536
2005,0,all,5000,0,historical_density_minus_random,median_absolute_error,2.4740229034629806
2005,0,all,5000,0,historical_density_minus_random,p95_absolute_error,20.706234059094008
2005,0,all,5000,0,historical_density_minus_random,p99_absolute_error,49.330464918437585
2005,0,all,5000,0,spatial_coverage_minus_random,rmse,5.613963358229743
2005,0,all,5000,0,spatial_coverage_minus_random,mae,2.399463321340951
2005,0,all,5000,0,spatial_coverage_minus_random,median_absolute_error,1.3052650179731131
2005,0,all,5000,0,spatial_coverage_minus_random,p95_absolute_error,3.993378778957691
2005,0,all,5000,0,spatial_coverage_minus_random,p99_absolute_error,27.89792726056143
2005,0,all,5000,1,historical_density_minus_random,rmse,8.863548653857276
2005,0,all,5000,1,historical_density_minus_random,mae,4.740633519872068
2005,0,all,5000,1,historical_density_minus_random,median_absolute_error,1.8708456050295599
2005,0,all,5000,1,historical_density_minus_random,p95_absolute_error,26.322970954315274
2005,0,all,5000,1,historical_density_minus_random,p99_absolute_error,55.915097386601275
2005,0,all,5000,1,spatial_coverage_minus_random,rmse,0.6246356089184211
2005,0,all,5000,1,spatial_coverage_minus_random,mae,0.412609552013695
2005,0,all,5000,1,spatial_coverage_minus_random,median_absolute_error,0.1329792293294645
2005,0,all,5000,1,spatial_coverage_minus_random,p95_absolute_error,2.0324562879110672
2005,0,all,5000,1,spatial_coverage_minus_random,p99_absolute_error,2.6482057775981644
2005,0,all,5000,2,historical_density_minus_random,rmse,8.121613045321649
2005,0,all,5000,2,historical_density_minus_random,mae,4.732451443769939
2005,0,all,5000,2,historical_density_minus_random,median_absolute_error,2.3938363262226137
2005,0,all,5000,2,historical_density_minus_random,p95_absolute_error,20.410851385793833
2005,0,all,5000,2,historical_density_minus_random,p99_absolute_error,47.4707748362125
2005,0,all,5000,2,spatial_coverage_minus_random,rmse,3.939609251232696
2005,0,all,5000,2,spatial_coverage_minus_random,mae,1.1290566547650442
