year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,0,historical_density,1000,0,306,654,12,1.0,699.869
2005,0,random,1000,0,539,939,12,0.108,6.691
2005,0,spatial_coverage,1000,0,592,1000,12,0.088,7.298
2005,0,historical_density,1000,1,303,650,12,1.0,718.345
2005,0,random,1000,1,544,949,12,0.127,8.106
2005,0,spatial_coverage,1000,1,595,1000,12,0.103,12.815
2005,0,historical_density,1000,2,310,685,12,1.0,677.295
2005,0,random,1000,2,548,941,12,0.129,7.494
2005,0,spatial_coverage,1000,2,600,1000,12,0.105,7.218
2005,0,historical_density,1000,3,307,679,12,1.0,692.452
2005,0,random,1000,3,539,939,12,0.13,12.188
2005,0,spatial_coverage,1000,3,601,1000,12,0.109,6.017
2005,0,historical_density,1000,4,306,655,12,1.0,738.856
2005,0,random,1000,4,552,947,12,0.123,8.076
2005,0,spatial_coverage,1000,4,589,1000,12,0.098,9.719
2005,0,historical_density,5000,0,498,1833,12,1.0,381.3652
2005,0,random,5000,0,775,3815,12,0.1094,7.2056
2005,0,spatial_coverage,5000,0,822,5000,12,0.1,9.7214
2005,0,historical_density,5000,1,504,1854,12,1.0,378.0824
2005,0,random,5000,1,780,3780,12,0.113,8.1938
2005,0,spatial_coverage,5000,1,822,5000,12,0.096,10.221
2005,0,historical_density,5000,2,507,1866,12,1.0,382.2684
2005,0,random,5000,2,782,3820,12,0.114,8.0182
2005,0,spatial_coverage,5000,2,822,5000,12,0.1026,10.0402
2005,0,historical_density,5000,3,505,1865,12,1.0,379.6704
2005,0,random,5000,3,782,3801,12,0.11,8.2182
2005,0,spatial_coverage,5000,3,822,5000,12,0.0998,9.575
2005,0,historical_density,5000,4,507,1884,12,1.0,383.7078
2005,0,random,5000,4,780,3760,12,0.1128,8.2032
2005,0,spatial_coverage,5000,4,822,5000,12,0.0972,11.5376
2005,1,historical_density,1000,0,313,677,12,1.0,721.329
2005,1,random,1000,0,540,945,12,0.13,17.244
2005,1,spatial_coverage,1000,0,586,1000,12,0.091,10.593
2005,1,historical_density,1000,1,308,692,12,1.0,713.811
2005,1,random,1000,1,541,955,12,0.122,10.463
2005,1,spatial_coverage,1000,1,604,1000,12,0.101,12.615
2005,1,historical_density,1000,2,299,677,12,1.0,703.908
2005,1,random,1000,2,559,942,12,0.125,11.171
2005,1,spatial_coverage,1000,2,601,1000,12,0.095,8.186
2005,1,historical_density,1000,3,317,675,12,1.0,691.933
2005,1,random,1000,3,554,947,12,0.097,12.319
2005,1,spatial_coverage,1000,3,600,1000,12,0.114,10.454
2005,1,historical_density,1000,4,312,668,12,1.0,723.235
2005,1,random,1000,4,534,948,12,0.11,7.33
2005,1,spatial_coverage,1000,4,588,1000,12,0.112,8.265
2005,1,historical_density,5000,0,507,1859,12,1.0,385.4122
2005,1,random,5000,0,784,3813,12,0.121,11.6946
2005,1,spatial_coverage,5000,0,826,5000,12,0.095,9.4208
2005,1,historical_density,5000,1,505,1889,12,1.0,380.8074
2005,1,random,5000,1,783,3815,12,0.1244,8.6298
2005,1,spatial_coverage,5000,1,826,5000,12,0.1044,10.6856
2005,1,historical_density,5000,2,506,1857,12,1.0,388.5376
2005,1,random,5000,2,796,3827,12,0.1172,7.8388
2005,1,spatial_coverage,5000,2,826,5000,12,0.1014,9.4246
2005,1,historical_density,5000,3,494,1883,12,1.0,386.3396
2005,1,random,5000,3,791,3848,12,0.1052,9.0166
2005,1,spatial_coverage,5000,3,826,5000,12,0.1076,9.766
2005,1,historical_density,5000,4,518,1902,12,1.0,382.4514
2005,1,random,5000,4,786,3797,12,0.1244,9.959
2005,1,spatial_coverage,5000,4,826,5000,12,0.1032,9.1298
2005,2,historical_density,1000,0,323,669,12,1.0,676.183
2005,2,random,1000,0,551,942,12,0.121,5.681
2005,2,spatial_coverage,1000,0,589,1000,12,0.097,11.7
2005,2,historical_density,1000,1,331,679,12,1.0,674.354
2005,2,random,1000,1,558,956,12,0.121,7.683
2005,2,spatial_coverage,1000,1,582,1000,12,0.095,18.695
2005,2,historical_density,1000,2,330,688,12,1.0,664.107
2005,2,random,1000,2,543,935,12,0.108,10.76
2005,2,spatial_coverage,1000,2,588,1000,12,0.093,6.566
2005,2,historical_density,1000,3,346,688,12,1.0,654.754
2005,2,random,1000,3,560,949,12,0.111,6.896
2005,2,spatial_coverage,1000,3,589,1000,12,0.084,4.45
2005,2,historical_density,1000,4,329,679,12,1.0,684.098
2005,2,random,1000,4,541,945,12,0.126,10.194
2005,2,spatial_coverage,1000,4,609,1000,12,0.099,7.307
2005,2,historical_density,5000,0,518,1927,12,1.0,344.192
2005,2,random,5000,0,785,3813,12,0.116,7.5204
2005,2,spatial_coverage,5000,0,824,5000,12,0.1002,7.7214
2005,2,historical_density,5000,1,523,1927,12,1.0,347.8988
2005,2,random,5000,1,780,3869,12,0.1156,7.0336
2005,2,spatial_coverage,5000,1,824,5000,12,0.0958,10.3764
2005,2,historical_density,5000,2,524,1884,12,1.0,349.2354
2005,2,random,5000,2,784,3824,12,0.1152,9.3868
2005,2,spatial_coverage,5000,2,824,5000,12,0.1008,9.3262
