lon_block,lat_block,spatial_fold,rows,longitude_center,latitude_center,longitude_width,latitude_width
0,1,2,814,-170.0,-75.0,20.0,10.0
0,2,4,460,-170.0,-65.0,20.0,10.0
0,3,1,313,-170.0,-55.0,20.0,10.0
0,4,3,274,-170.0,-45.0,20.0,10.0
0,5,0,84,-170.0,-35.0,20.0,10.0
1,1,3,305,-150.0,-75.0,20.0,10.0
1,2,0,227,-150.0,-65.0,20.0,10.0
1,3,2,110,-150.0,-55.0,20.0,10.0
1,4,4,152,-150.0,-45.0,20.0,10.0
1,5,1,19,-150.0,-35.0,20.0,10.0
2,1,4,198,-130.0,-75.0,20.0,10.0
2,2,1,228,-130.0,-65.0,20.0,10.0
2,3,3,95,-130.0,-55.0,20.0,10.0
2,4,0,91,-130.0,-45.0,20.0,10.0
3,1,0,452,-110.0,-75.0,20.0,10.0
3,2,2,378,-110.0,-65.0,20.0,10.0
3,3,4,222,-110.0,-55.0,20.0,10.0
3,4,1,68,-110.0,-45.0,20.0,10.0
3,5,3,16,-110.0,-35.0,20.0,10.0
4,1,1,87,-90.0,-75.0,20.0,10.0
4,2,3,524,-90.0,-65.0,20.0,10.0
4,3,0,476,-90.0,-55.0,20.0,10.0
4,4,2,28,-90.0,-45.0,20.0,10.0
4,5,4,9,-90.0,-35.0,20.0,10.0
5,1,2,11,-70.0,-75.0,20.0,10.0
5,2,4,4124,-70.0,-65.0,20.0,10.0
5,3,1,3425,-70.0,-55.0,20.0,10.0
5,4,3,523,-70.0,-45.0,20.0,10.0
5,5,0,45,-70.0,-35.0,20.0,10.0
6,1,3,19,-50.0,-75.0,20.0,10.0
6,2,0,1364,-50.0,-65.0,20.0,10.0
6,3,2,1065,-50.0,-55.0,20.0,10.0
6,4,4,527,-50.0,-45.0,20.0,10.0
6,5,1,346,-50.0,-35.0,20.0,10.0
7,1,4,175,-30.0,-75.0,20.0,10.0
7,2,1,320,-30.0,-65.0,20.0,10.0
7,3,3,632,-30.0,-55.0,20.0,10.0
7,4,0,148,-30.0,-45.0,20.0,10.0
7,5,2,89,-30.0,-35.0,20.0,10.0
8,1,0,124,-10.0,-75.0,20.0,10.0
8,2,2,604,-10.0,-65.0,20.0,10.0
8,3,4,459,-10.0,-55.0,20.0,10.0
8,4,1,242,-10.0,-45.0,20.0,10.0
8,5,3,75,-10.0,-35.0,20.0,10.0
9,2,3,391,10.0,-65.0,20.0,10.0
9,3,0,461,10.0,-55.0,20.0,10.0
9,4,2,612,10.0,-45.0,20.0,10.0
9,5,4,302,10.0,-35.0,20.0,10.0
10,2,4,360,30.0,-65.0,20.0,10.0
10,3,1,247,30.0,-55.0,20.0,10.0
10,4,3,301,30.0,-45.0,20.0,10.0
10,5,0,244,30.0,-35.0,20.0,10.0
11,2,0,373,50.0,-65.0,20.0,10.0
11,3,2,127,50.0,-55.0,20.0,10.0
11,4,4,836,50.0,-45.0,20.0,10.0
11,5,1,240,50.0,-35.0,20.0,10.0
12,2,1,1047,70.0,-65.0,20.0,10.0
12,3,3,837,70.0,-55.0,20.0,10.0
12,4,0,1225,70.0,-45.0,20.0,10.0
12,5,2,426,70.0,-35.0,20.0,10.0
13,2,2,830,90.0,-65.0,20.0,10.0
13,3,4,675,90.0,-55.0,20.0,10.0
13,4,1,274,90.0,-45.0,20.0,10.0
13,5,3,65,90.0,-35.0,20.0,10.0
14,2,3,761,110.0,-65.0,20.0,10.0
14,3,0,864,110.0,-55.0,20.0,10.0
14,4,2,188,110.0,-45.0,20.0,10.0
14,5,4,184,110.0,-35.0,20.0,10.0
15,2,4,694,130.0,-65.0,20.0,10.0
15,3,1,1176,130.0,-55.0,20.0,10.0
15,4,3,591,130.0,-45.0,20.0,10.0
15,5,0,178,130.0,-35.0,20.0,10.0
16,2,0,970,150.0,-65.0,20.0,10.0
16,3,2,1415,150.0,-55.0,20.0,10.0
16,4,4,2190,150.0,-45.0,20.0,10.0
16,5,1,2693,150.0,-35.0,20.0,10.0
17,1,4,1561,170.0,-75.0,20.0,10.0
17,2,1,556,170.0,-65.0,20.0,10.0
17,3,3,545,170.0,-55.0,20.0,10.0
17,4,0,1893,170.0,-45.0,20.0,10.0
17,5,2,3093,170.0,-35.0,20.0,10.0
