regime,strategy,budget_fraction,n_development,n_train,n_test,rmse,mae,bias,seed
spatial_fold_0,coverage,0.2,40153,8031,9219,28.61307502543847,17.802898997622147,1.7048719831002597,0
spatial_fold_0,random,0.2,40153,8031,9219,29.223221047747728,18.137391811401912,2.3186158533399124,0
spatial_fold_0,coverage,0.2,40153,8031,9219,28.84858187230525,18.000120234434995,2.328880280907632,1
spatial_fold_0,random,0.2,40153,8031,9219,29.01401040994252,18.00326496646604,2.0878607236334763,1
spatial_fold_0,coverage,0.2,40153,8031,9219,28.644429065525017,18.010085732011476,1.960234617078628,2
spatial_fold_0,random,0.2,40153,8031,9219,29.57993834899557,18.182246377208383,3.0272811292755857,2
spatial_fold_0,coverage,0.2,40153,8031,9219,28.78119137416415,18.03562764281901,2.9667655540109106,3
spatial_fold_0,random,0.2,40153,8031,9219,29.266483199477168,18.129234802100363,2.5831248169949754,3
spatial_fold_0,coverage,0.2,40153,8031,9219,29.05432739708612,18.034603991270963,1.9021174940299743,4
spatial_fold_0,random,0.2,40153,8031,9219,29.930384773820197,18.316131065892232,2.816879344588002,4
spatial_fold_0,coverage,0.2,40153,8031,9219,28.239832046593893,17.73291020399339,1.4377179409991538,5
spatial_fold_0,random,0.2,40153,8031,9219,28.68577300506045,17.96362717851399,2.3445051079349577,5
spatial_fold_0,coverage,0.2,40153,8031,9219,29.21999192499374,18.129782601930888,2.3980662578558865,6
spatial_fold_0,random,0.2,40153,8031,9219,30.391836410097145,18.284019282834773,3.011104886279786,6
spatial_fold_0,coverage,0.2,40153,8031,9219,29.53395914693267,18.2856144932394,2.3667386652619955,7
spatial_fold_0,random,0.2,40153,8031,9219,29.56834796740133,18.176523278772525,2.553947473744812,7
spatial_fold_0,coverage,0.2,40153,8031,9219,28.96986643755117,17.934193238933453,2.304247742357884,8
spatial_fold_0,random,0.2,40153,8031,9219,29.636225077743894,18.14765737453934,2.5288712407613145,8
spatial_fold_0,coverage,0.2,40153,8031,9219,28.525758075662417,18.03261020694337,1.6750105426070765,9
spatial_fold_0,random,0.2,40153,8031,9219,29.90704244848688,18.29350314656696,3.664570593151692,9
spatial_fold_0,coverage,0.2,40153,8031,9219,29.07425901137028,18.200154950663787,2.9335397854473166,10
spatial_fold_0,random,0.2,40153,8031,9219,30.366112568508203,18.235277541389603,3.467456947704028,10
spatial_fold_0,coverage,0.2,40153,8031,9219,28.80172540030736,18.07227996857627,2.5431372840051005,11
spatial_fold_0,random,0.2,40153,8031,9219,28.80291659924431,17.980371573488565,2.490807407640604,11
spatial_fold_0,coverage,0.2,40153,8031,9219,29.22212362044761,18.056377346640915,2.8053772552473397,12
spatial_fold_0,random,0.2,40153,8031,9219,28.984151192233934,18.15513386288861,2.321362689584968,12
spatial_fold_0,coverage,0.2,40153,8031,9219,29.41067858696137,18.27039811177494,2.1321006200803576,13
spatial_fold_0,random,0.2,40153,8031,9219,29.70442795656053,18.2642657713294,2.465214214590676,13
spatial_fold_0,coverage,0.2,40153,8031,9219,28.563856207021548,17.721607429142605,2.5278601164672203,14
spatial_fold_0,random,0.2,40153,8031,9219,29.95318854247063,18.28828414293617,3.490614164762491,14
spatial_fold_0,coverage,0.2,40153,8031,9219,28.559708511689852,17.874063914642278,2.240557139973827,15
spatial_fold_0,random,0.2,40153,8031,9219,28.197792668939925,17.618554751930592,2.641808670283164,15
spatial_fold_0,coverage,0.2,40153,8031,9219,28.376050218384464,17.76625312201187,2.2748185822313878,16
spatial_fold_0,random,0.2,40153,8031,9219,29.073320356125752,18.16043894222219,2.9287337245689757,16
spatial_fold_0,coverage,0.2,40153,8031,9219,28.8094657895385,18.22548608149003,2.3449444996153077,17
spatial_fold_0,random,0.2,40153,8031,9219,29.183332229469613,18.23554596701551,2.4594108190378074,17
spatial_fold_0,coverage,0.2,40153,8031,9219,28.809862099896208,18.13656160969932,1.835663074892378,18
spatial_fold_0,random,0.2,40153,8031,9219,29.57305161686011,18.054826900594488,2.848998944019612,18
spatial_fold_0,coverage,0.2,40153,8031,9219,29.02840775026641,18.22869451055097,1.4511989304219544,19
spatial_fold_0,random,0.2,40153,8031,9219,29.926943654736185,18.334730759226524,2.9795303611769723,19
spatial_fold_1,coverage,0.2,38091,7619,11281,24.107067682120032,16.23157186445608,-1.6659438552801773,0
spatial_fold_1,random,0.2,38091,7619,11281,23.99448706074228,15.94644788711656,-1.381971532457452,0
spatial_fold_1,coverage,0.2,38091,7619,11281,23.95199621906757,16.110984191010644,-1.2626803528749306,1
spatial_fold_1,random,0.2,38091,7619,11281,23.47051830629541,15.569265377264784,-0.5188456557601753,1
spatial_fold_1,coverage,0.2,38091,7619,11281,23.25818184444401,15.811427152467148,-0.1534096621520875,2
spatial_fold_1,random,0.2,38091,7619,11281,23.594120192593213,15.645874879660134,-0.3472981173342626,2
spatial_fold_1,coverage,0.2,38091,7619,11281,24.24988273406411,16.381992688635957,-0.7543041963145484,3
spatial_fold_1,random,0.2,38091,7619,11281,23.78304074140505,15.927919625620662,-2.0219629626608486,3
spatial_fold_1,coverage,0.2,38091,7619,11281,25.15554406674509,17.26885238227814,-1.0897412194473726,4
spatial_fold_1,random,0.2,38091,7619,11281,27.26927275959497,17.51735514884833,-2.8368726708441736,4
spatial_fold_1,coverage,0.2,38091,7619,11281,23.803485601023493,16.200991530479637,-0.6404687297215809,5
spatial_fold_1,random,0.2,38091,7619,11281,23.949179293167067,16.16486430078314,0.0178641507733412,5
spatial_fold_1,coverage,0.2,38091,7619,11281,23.73282377949104,16.097695204914025,-3.053772055107004,6
spatial_fold_1,random,0.2,38091,7619,11281,23.074687926565563,15.291980511675908,-0.8757608909389525,6
spatial_fold_1,coverage,0.2,38091,7619,11281,23.391338021093368,15.91608923504269,-1.3379632810338882,7
spatial_fold_1,random,0.2,38091,7619,11281,27.568149663587768,17.82807925703076,-3.983633529263986,7
spatial_fold_1,coverage,0.2,38091,7619,11281,24.25051149980831,16.212327899678467,-2.003983460625957,8
spatial_fold_1,random,0.2,38091,7619,11281,24.19917983623099,16.045893119975197,-2.143596885548951,8
spatial_fold_1,coverage,0.2,38091,7619,11281,23.230179021889818,15.580055069831827,1.3514663544825103,9
spatial_fold_1,random,0.2,38091,7619,11281,23.256891776266595,15.588947970237822,1.0324224984176305,9
spatial_fold_1,coverage,0.2,38091,7619,11281,23.406854933478183,15.74607068508753,-1.0907585267984168,10
spatial_fold_1,random,0.2,38091,7619,11281,24.388785052380637,16.18912237718581,-2.083247234044552,10
spatial_fold_1,coverage,0.2,38091,7619,11281,23.39921883576397,15.980387724987027,0.8273080110786114,11
spatial_fold_1,random,0.2,38091,7619,11281,23.85696819685564,15.778068491852592,-0.8167208482496692,11
spatial_fold_1,coverage,0.2,38091,7619,11281,22.775410742596893,15.476542383874497,-0.0418436638950041,12
spatial_fold_1,random,0.2,38091,7619,11281,25.752457532913315,16.863804289069694,-3.075287185004164,12
spatial_fold_1,coverage,0.2,38091,7619,11281,22.936865451130576,15.393717028409116,0.0195538832380032,13
spatial_fold_1,random,0.2,38091,7619,11281,23.098531721853178,15.70659395646498,-0.7488535115946836,13
spatial_fold_1,coverage,0.2,38091,7619,11281,26.315808733270536,17.230725946636362,-3.2395141546809403,14
spatial_fold_1,random,0.2,38091,7619,11281,28.7593875800506,18.365378071376824,-5.020130434798391,14
spatial_fold_1,coverage,0.2,38091,7619,11281,23.52741678738462,15.685854390891832,1.0179274671899876,15
spatial_fold_1,random,0.2,38091,7619,11281,24.24325598512995,15.90824323628402,-1.3484272593675597,15
spatial_fold_1,coverage,0.2,38091,7619,11281,23.65552399947692,15.87638036613067,1.307293439262362,16
spatial_fold_1,random,0.2,38091,7619,11281,23.77565980842183,15.841241190417328,-0.4894772901017642,16
spatial_fold_1,coverage,0.2,38091,7619,11281,23.49970730268,15.905560043389087,-1.1981734334009289,17
spatial_fold_1,random,0.2,38091,7619,11281,25.625528388034816,16.94792289611439,-4.006364705681718,17
