regime,strategy,budget_fraction,n_train,occupied_coverage_cells,available_coverage_cells,coverage_cell_count_cv,seed
spatial_fold_0,coverage,0.2,8031,217,217,0.7395264358072073,0
spatial_fold_0,random,0.2,8031,214,217,1.7736081724696606,0
spatial_fold_0,coverage,0.2,8031,217,217,0.7484308576708422,1
spatial_fold_0,random,0.2,8031,216,217,1.740026709047746,1
spatial_fold_0,coverage,0.2,8031,217,217,0.7272361104608241,2
spatial_fold_0,random,0.2,8031,214,217,1.7348097948512298,2
spatial_fold_0,coverage,0.2,8031,217,217,0.743636888909742,3
spatial_fold_0,random,0.2,8031,215,217,1.7225306291205251,3
spatial_fold_0,coverage,0.2,8031,217,217,0.7690591999752037,4
spatial_fold_0,random,0.2,8031,215,217,1.7542289808964913,4
spatial_fold_0,coverage,0.2,8031,217,217,0.7441434475015863,5
spatial_fold_0,random,0.2,8031,214,217,1.756027083698227,5
spatial_fold_0,coverage,0.2,8031,217,217,0.7581408793947088,6
spatial_fold_0,random,0.2,8031,211,217,1.7646965345705303,6
spatial_fold_0,coverage,0.2,8031,217,217,0.7496840264372463,7
spatial_fold_0,random,0.2,8031,215,217,1.7526306117006678,7
spatial_fold_0,coverage,0.2,8031,217,217,0.7668642803386468,8
spatial_fold_0,random,0.2,8031,216,217,1.7438490868328853,8
spatial_fold_0,coverage,0.2,8031,217,217,0.7500250285394306,9
spatial_fold_0,random,0.2,8031,215,217,1.775411284098852,9
spatial_fold_0,coverage,0.2,8031,217,217,0.7519246232855628,10
spatial_fold_0,random,0.2,8031,214,217,1.7587609643047213,10
spatial_fold_0,coverage,0.2,8031,217,217,0.7652040660867416,11
spatial_fold_0,random,0.2,8031,215,217,1.7307983452533164,11
spatial_fold_0,coverage,0.2,8031,217,217,0.750217895282337,12
spatial_fold_0,random,0.2,8031,215,217,1.793468386450306,12
spatial_fold_0,coverage,0.2,8031,217,217,0.7782569539735763,13
spatial_fold_0,random,0.2,8031,215,217,1.7741164903244215,13
spatial_fold_0,coverage,0.2,8031,217,217,0.7112330518475863,14
spatial_fold_0,random,0.2,8031,213,217,1.7240866511383537,14
spatial_fold_0,coverage,0.2,8031,217,217,0.7655733137262702,15
spatial_fold_0,random,0.2,8031,215,217,1.7072294231804863,15
spatial_fold_0,coverage,0.2,8031,217,217,0.7737913266610085,16
spatial_fold_0,random,0.2,8031,213,217,1.7676511355211395,16
spatial_fold_0,coverage,0.2,8031,217,217,0.7745909585526658,17
spatial_fold_0,random,0.2,8031,215,217,1.7766861974411428,17
spatial_fold_0,coverage,0.2,8031,217,217,0.7476437479516039,18
spatial_fold_0,random,0.2,8031,211,217,1.7536611798318458,18
spatial_fold_0,coverage,0.2,8031,217,217,0.7854348204023234,19
spatial_fold_0,random,0.2,8031,215,217,1.773226838452645,19
spatial_fold_1,coverage,0.2,7619,220,220,0.6882387915045267,0
spatial_fold_1,random,0.2,7619,218,220,1.617922952723165,0
spatial_fold_1,coverage,0.2,7619,220,220,0.7115767671981034,1
spatial_fold_1,random,0.2,7619,215,220,1.6449054233441942,1
spatial_fold_1,coverage,0.2,7619,220,220,0.6628987537490122,2
spatial_fold_1,random,0.2,7619,219,220,1.60077440841173,2
spatial_fold_1,coverage,0.2,7619,220,220,0.6736793924215779,3
spatial_fold_1,random,0.2,7619,214,220,1.6240835591709082,3
spatial_fold_1,coverage,0.2,7619,220,220,0.6878091385815884,4
spatial_fold_1,random,0.2,7619,217,220,1.6435362670450673,4
spatial_fold_1,coverage,0.2,7619,220,220,0.7156237067679522,5
spatial_fold_1,random,0.2,7619,216,220,1.648847481951021,5
spatial_fold_1,coverage,0.2,7619,220,220,0.6734487008684329,6
spatial_fold_1,random,0.2,7619,219,220,1.634717765121076,6
spatial_fold_1,coverage,0.2,7619,220,220,0.6545853438437992,7
spatial_fold_1,random,0.2,7619,216,220,1.608598932366354,7
spatial_fold_1,coverage,0.2,7619,220,220,0.7156713685264536,8
spatial_fold_1,random,0.2,7619,215,220,1.6793899125725682,8
spatial_fold_1,coverage,0.2,7619,220,220,0.7089835833389024,9
spatial_fold_1,random,0.2,7619,215,220,1.624986394681145,9
spatial_fold_1,coverage,0.2,7619,220,220,0.6805303646743562,10
spatial_fold_1,random,0.2,7619,219,220,1.625091343001968,10
spatial_fold_1,coverage,0.2,7619,220,220,0.7024479528402752,11
spatial_fold_1,random,0.2,7619,217,220,1.6488267952383595,11
spatial_fold_1,coverage,0.2,7619,220,220,0.6945807672196008,12
spatial_fold_1,random,0.2,7619,218,220,1.6602614473849997,12
spatial_fold_1,coverage,0.2,7619,220,220,0.6715720997876067,13
spatial_fold_1,random,0.2,7619,216,220,1.623539749407355,13
spatial_fold_1,coverage,0.2,7619,220,220,0.6711035414052258,14
spatial_fold_1,random,0.2,7619,218,220,1.6109673448430415,14
