/* DATA DESCRIPTION:
Citation:	Boebel, Olaf (2017): Station list and links to master tracks in different resolutions of POLARSTERN cruise PS103 (ANT-XXXII/2), Cape Town - Punta Arenas, 2016-12-16 - 2017-02-03 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.875075
Related to:	Boebel, Olaf (2017): The Expedition PS103 of the Research Vessel POLARSTERN to the Weddell Sea in 2016/2017. Berichte zur Polar- und Meeresforschung = Reports on Polar and Marine Research, 710, 160 pp, https://doi.org/10.2312/BzPM_0710_2017
Other version:	Master track of POLARSTERN cruise PS103 (ANT-XXXII/2) in 1 sec resolution (zipped, 37.7 MB) (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS103_mastertrack.zip)
Further details:	Event list of POLARSTERN cruise PS103 (ANT-XXXII/2) (URI: https://pangaea.de/ddi/PS103.tab?retr=events/Polarstern/PS103.retr&conf=events/CruiseReportText.conf&format=textfile)
	Generalized master track of POLARSTERN cruise PS103 (ANT-XXXII/2) (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS103_mastertrack_generalized.zip)
	Trackline map and processing report for navigation sensors from POLARSTERN cruise PS103 (ANT-XXXII/2) (URI: hdl:10013/epic.50787)
Coverage:	MEDIAN LATITUDE: -62.385535 * MEDIAN LONGITUDE: -20.208367 * SOUTH-BOUND LATITUDE: -71.368035 * WEST-BOUND LONGITUDE: -70.802998 * NORTH-BOUND LATITUDE: -33.858214 * EAST-BOUND LONGITUDE: 18.435792
	DATE/TIME START: 2016-12-16T00:20:00 * DATE/TIME END: 2017-02-02T14:15:43
Event(s):	PS103-track * LATITUDE START: -33.906800 * LONGITUDE START: 18.433700 * LATITUDE END: -53.144700 * LONGITUDE END: -70.909100 * DATE/TIME START: 2016-12-16T00:00:00 * DATE/TIME END: 2017-02-02T15:00:00 * CAMPAIGN: PS103 (ANT-XXXII/2) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	13994 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2016-12-16T00:20	-33.90971	18.43577	0.001	311.8
2016-12-16T00:30	-33.90970	18.43574	0.007	280.2
2016-12-16T00:40	-33.90971	18.43577	0.009	113.6
2016-12-16T00:50	-33.90972	18.43577	0.002	199.8
2016-12-16T01:00	-33.90974	18.43575	0.007	218.0
2016-12-16T01:10	-33.90972	18.43578	0.010	46.9
2016-12-16T01:20	-33.90967	18.43573	0.023	322.2
2016-12-16T01:30	-33.90968	18.43574	0.007	151.7
2016-12-16T01:40	-33.90969	18.43576	0.005	116.6
2016-12-16T01:50	-33.90969	18.43576	0.001	86.6
2016-12-16T02:00	-33.90971	18.43577	0.007	165.3
2016-12-16T02:10	-33.90970	18.43577	0.002	355.0
2016-12-16T02:20	-33.90972	18.43576	0.004	195.3
2016-12-16T02:30	-33.90971	18.43577	0.003	34.7
2016-12-16T02:40	-33.90972	18.43577	0.003	195.9
2016-12-16T02:50	-33.90973	18.43577	0.005	158.7
2016-12-16T03:00	-33.90973	18.43577	0.002	278.8
2016-12-16T03:10	-33.90972	18.43577	0.002	62.7
2016-12-16T03:20	-33.90971	18.43577	0.007	353.0
2016-12-16T03:30	-33.90971	18.43577	0.001	266.5
2016-12-16T03:40	-33.90972	18.43576	0.005	202.5
2016-12-16T03:50	-33.90972	18.43575	0.003	252.3
2016-12-16T04:00	-33.90971	18.43577	0.006	47.4
2016-12-16T04:10	-33.90971	18.43576	0.002	266.4
2016-12-16T04:20	-33.90971	18.43576	0.001	58.3
2016-12-16T04:30	-33.90971	18.43576	0.001	206.9
2016-12-16T04:40	-33.90971	18.43576	0.002	156.9
2016-12-16T04:50	-33.90971	18.43577	0.001	64.9
2016-12-16T05:00	-33.90972	18.43577	0.002	162.4
2016-12-16T05:10	-33.90972	18.43577	0.000	265.4
2016-12-16T05:20	-33.90972	18.43577	0.001	169.0
2016-12-16T05:30	-33.90972	18.43577	0.000	180.0
2016-12-16T05:40	-33.90972	18.43577	0.002	38.8
2016-12-16T05:50	-33.90975	18.43576	0.011	197.8
2016-12-16T06:00	-33.90971	18.43578	0.015	19.3
2016-12-16T06:10	-33.90972	18.43577	0.004	203.9
2016-12-16T06:20	-33.90972	18.43578	0.002	130.7
2016-12-16T06:30	-33.90973	18.43578	0.003	134.8
2016-12-16T06:40	-33.90974	18.43579	0.006	158.0
2016-12-16T06:50	-33.90973	18.43578	0.006	324.4
2016-12-16T07:00	-33.90973	18.43578	0.002	185.0
2016-12-16T07:10	-33.90974	18.43578	0.004	176.3
2016-12-16T07:20	-33.90973	18.43579	0.006	29.3
