latitude,longitude,delta_mae_uatm
-78.5,-176.5,0.01513392006357872
-78.5,-175.5,-3.018589437618335
-78.5,-174.5,-6.823110458052994
-78.5,-173.5,
-78.5,-172.5,-6.177350919490507
-78.5,-171.5,
-78.5,-170.5,-13.106648569082036
-78.5,-169.5,14.352791976537654
-78.5,-168.5,
-78.5,-167.5,-3.262534464712715
-78.5,-166.5,-6.50260090214001
-78.5,-165.5,-2.851171583843268
-78.5,-164.5,-2.095992041930751
-78.5,-163.5,3.387861805449969
-78.5,-162.5,7.485376128822601
-78.5,-161.5,6.338055387551294
-78.5,-160.5,-5.15251293962363
-78.5,-43.5,5.638816040528667
-78.5,-39.5,-2.1495684490299354
-78.5,-38.5,18.466365291306694
-78.5,-37.5,22.477008680925152
-78.5,-36.5,20.75905172415906
-77.5,-179.5,-10.33817590319444
-77.5,-178.5,8.308096639719114
-77.5,-177.5,-9.525391459363474
-77.5,-176.5,5.452731757938944
-77.5,-175.5,-4.6046572555434295
-77.5,-174.5,4.2963808303528515
-77.5,-173.5,-21.929068532491392
-77.5,-172.5,2.4898034842435024
-77.5,-171.5,1.2234438618593693
-77.5,-170.5,-4.673577852293555
-77.5,-169.5,5.239279849918992
-77.5,-168.5,9.29103746558537
-77.5,-167.5,9.644079673516481
-77.5,-166.5,13.898025110139583
-77.5,-165.5,15.992763574631295
-77.5,-164.5,1.7175602812658948
-77.5,-163.5,29.014419085616982
-77.5,-162.5,10.115265674890562
-77.5,-161.5,-1.9034602011970208
-77.5,-160.5,
-77.5,-159.5,-0.9609526479139401
-77.5,-158.5,-2.4578754788073436
-77.5,-49.5,-12.732872008460161
-77.5,-48.5,3.6383244603613036
-77.5,-47.5,18.465493977267382
-77.5,-46.5,2.1831424576038216
-77.5,-45.5,1.738708962736812
-77.5,-44.5,-19.082469647655035
-77.5,-43.5,-11.015537657965751
-77.5,-42.5,16.566819847433436
-77.5,-41.5,21.771229838571045
-77.5,-40.5,31.309170079223563
-77.5,-39.5,36.51469647131612
-77.5,-38.5,-5.927277363252017
-77.5,-37.5,
-77.5,-36.5,21.892944675486966
-77.5,-35.5,8.932456247604993
-77.5,-34.5,-8.9671821493857
-77.5,-33.5,
-77.5,163.5,2.854455178793277
-77.5,164.5,-37.14749544327415
-77.5,165.5,17.61994850160131
-77.5,166.5,2.847209902798788
-77.5,167.5,2.484449695081537
-77.5,168.5,11.128483450216464
-77.5,169.5,-12.890954895234355
-77.5,170.5,7.470327669180254
-77.5,171.5,17.92035875251145
-77.5,172.5,-8.313313617234463
-77.5,173.5,-11.376724403591785
-77.5,174.5,26.34493664956784
-77.5,175.5,15.537241407636367
-77.5,176.5,-0.500863143257817
